cause_medium,region_name,year,age_name,sex_name,death_abs,death_rate,YLL_abs,YLL_rate,YLD_abs,YLD_rate,DALY_abs,DALY_rate
Tuberculosis,Australasia,1990,0-6 days,Male,0,0,0,0,0,0.1,0,0.1
Tuberculosis,Australasia,1990,0-6 days,Female,0,0,0,0,0,0.1,0,0.1
Tuberculosis,Australasia,1990,0-6 days,Both,0,0,0,0,0,0.1,0,0.1
Tuberculosis,Australasia,1990,7-27 days,Male,0,0,0,0,0,0.1,0,0.1
Tuberculosis,Australasia,1990,7-27 days,Female,0,0,0,0,0,0,0,0
Tuberculosis,Australasia,1990,7-27 days,Both,0,0,0,0,0,0.1,0,0.1
Tuberculosis,Australasia,1990,28-364 days,Male,0,0.1,14,9.9,0,0.1,15,10
Tuberculosis,Australasia,1990,28-364 days,Female,0,0.1,10,7.1,0,0,10,7.1
Tuberculosis,Australasia,1990,28-364 days,Both,0,0.1,24,8.5,0,0.1,24,8.6
Tuberculosis,Australasia,1990,1-4 years,Male,0,0.1,36,5.9,2,0.3,38,6.3
Tuberculosis,Australasia,1990,1-4 years,Female,0,0,23,3.9,1,0.2,24,4.1
Tuberculosis,Australasia,1990,1-4 years,Both,1,0.1,59,4.9,3,0.3,62,5.2
Tuberculosis,Australasia,1990,5-9 years,Male,0,0,11,1.4,7,0.9,18,2.4
Tuberculosis,Australasia,1990,5-9 years,Female,0,0,9,1.2,4,0.5,13,1.7
Tuberculosis,Australasia,1990,5-9 years,Both,0,0,20,1.3,11,0.7,31,2.1
Tuberculosis,Australasia,1990,10-14 years,Male,0,0,11,1.5,12,1.6,24,3.1
Tuberculosis,Australasia,1990,10-14 years,Female,0,0,13,1.8,6,0.8,19,2.6
Tuberculosis,Australasia,1990,10-14 years,Both,0,0,24,1.6,19,1.2,43,2.9
Tuberculosis,Australasia,1990,15-19 years,Male,1,0.1,37,4.3,21,2.4,58,6.7
Tuberculosis,Australasia,1990,15-19 years,Female,0,0,9,1.1,10,1.2,19,2.3
Tuberculosis,Australasia,1990,15-19 years,Both,1,0,46,2.7,31,1.8,77,4.6
Tuberculosis,Australasia,1990,20-24 years,Male,0,0,20,2.4,29,3.5,48,5.8
Tuberculosis,Australasia,1990,20-24 years,Female,0,0,8,0.9,14,1.8,22,2.7
Tuberculosis,Australasia,1990,20-24 years,Both,0,0,27,1.7,43,2.6,70,4.3
Tuberculosis,Australasia,1990,25-29 years,Male,1,0.1,50,5.8,83,9.8,133,15.6
Tuberculosis,Australasia,1990,25-29 years,Female,0,0,17,2,45,5.3,62,7.3
Tuberculosis,Australasia,1990,25-29 years,Both,1,0.1,67,3.9,128,7.5,195,11.5
Tuberculosis,Australasia,1990,30-34 years,Male,1,0.1,33,4,128,15.3,161,19.3
Tuberculosis,Australasia,1990,30-34 years,Female,0,0,14,1.6,69,8.3,83,10
Tuberculosis,Australasia,1990,30-34 years,Both,1,0.1,47,2.8,197,11.8,244,14.6
Tuberculosis,Australasia,1990,35-39 years,Male,1,0.1,44,5.7,128,16.5,172,22.2
Tuberculosis,Australasia,1990,35-39 years,Female,0,0.1,22,2.9,68,8.8,91,11.7
Tuberculosis,Australasia,1990,35-39 years,Both,1,0.1,66,4.3,197,12.6,263,16.9
Tuberculosis,Australasia,1990,40-44 years,Male,1,0.2,53,7.1,120,15.9,174,23
Tuberculosis,Australasia,1990,40-44 years,Female,1,0.1,26,3.5,63,8.5,89,12
Tuberculosis,Australasia,1990,40-44 years,Both,2,0.1,79,5.3,183,12.3,262,17.6
Tuberculosis,Australasia,1990,45-49 years,Male,2,0.3,73,12.1,118,19.6,190,31.8
Tuberculosis,Australasia,1990,45-49 years,Female,1,0.2,44,7.6,63,11.1,107,18.7
Tuberculosis,Australasia,1990,45-49 years,Both,3,0.3,116,9.9,181,15.5,297,25.4
Tuberculosis,Australasia,1990,50-54 years,Male,2,0.5,84,17,86,17.2,170,34.1
Tuberculosis,Australasia,1990,50-54 years,Female,1,0.3,50,10.5,49,10.2,99,20.7
Tuberculosis,Australasia,1990,50-54 years,Both,4,0.4,135,13.8,134,13.7,269,27.5
Tuberculosis,Australasia,1990,55-59 years,Male,4,0.9,118,26.7,85,19.2,202,45.9
Tuberculosis,Australasia,1990,55-59 years,Female,2,0.5,62,14.3,49,11.2,111,25.5
Tuberculosis,Australasia,1990,55-59 years,Both,6,0.7,180,20.6,133,15.2,313,35.8
Tuberculosis,Australasia,1990,60-64 years,Male,7,1.5,171,39.1,55,12.5,225,51.6
Tuberculosis,Australasia,1990,60-64 years,Female,4,0.9,97,22.1,37,8.5,135,30.6
Tuberculosis,Australasia,1990,60-64 years,Both,11,1.2,268,30.6,92,10.5,360,41.1
Tuberculosis,Australasia,1990,65-69 years,Male,9,2.5,198,53,53,14.3,251,67.3
Tuberculosis,Australasia,1990,65-69 years,Female,6,1.6,135,32.6,37,8.9,172,41.5
Tuberculosis,Australasia,1990,65-69 years,Both,16,2,333,42.3,90,11.5,424,53.7
Tuberculosis,Australasia,1990,70-74 years,Male,11,4.3,190,72.4,23,8.6,212,81
Tuberculosis,Australasia,1990,70-74 years,Female,7,2.1,118,35.9,19,5.9,137,41.8
Tuberculosis,Australasia,1990,70-74 years,Both,18,3.1,307,52.1,42,7.1,349,59.2
Tuberculosis,Australasia,1990,75-79 years,Male,14,7.3,174,93.9,22,11.9,196,105.8
Tuberculosis,Australasia,1990,75-79 years,Female,9,3.4,114,43.1,19,7.2,134,50.3
Tuberculosis,Australasia,1990,75-79 years,Both,22,5,289,64,41,9.1,330,73.1
Tuberculosis,Australasia,1990,80+ years,Male,19,13.4,140,96.6,5,3.3,145,99.9
Tuberculosis,Australasia,1990,80+ years,Female,14,4.9,90,30.4,5,1.7,95,32.2
Tuberculosis,Australasia,1990,80+ years,Both,34,7.7,230,52.3,10,2.3,240,54.5
Tuberculosis,Australasia,1990,All ages,Male,74,0.7,"1,458",14.3,976,9.6,"2,434",23.9
Tuberculosis,Australasia,1990,All ages,Female,48,0.5,860,8.4,559,5.5,"1,420",13.8
Tuberculosis,Australasia,1990,All ages,Both,122,0.6,"2,318",11.4,"1,535",7.5,"3,853",18.9
Tuberculosis,Australasia,2005,0-6 days,Male,0,0,0,0,0,0.1,0,0.1
Tuberculosis,Australasia,2005,0-6 days,Female,0,0,0,0,0,0,0,0
Tuberculosis,Australasia,2005,0-6 days,Both,0,0,0,0,0,0,0,0
Tuberculosis,Australasia,2005,7-27 days,Male,0,0,0,0,0,0,0,0
Tuberculosis,Australasia,2005,7-27 days,Female,0,0,0,0,0,0,0,0
Tuberculosis,Australasia,2005,7-27 days,Both,0,0,0,0,0,0,0,0
Tuberculosis,Australasia,2005,28-364 days,Male,0,0,6,3.8,0,0.1,6,3.8
Tuberculosis,Australasia,2005,28-364 days,Female,0,0,4,2.6,0,0,4,2.6
Tuberculosis,Australasia,2005,28-364 days,Both,0,0,10,3.2,0,0,10,3.2
Tuberculosis,Australasia,2005,1-4 years,Male,0,0,15,2.3,2,0.3,16,2.6
Tuberculosis,Australasia,2005,1-4 years,Female,0,0,10,1.7,1,0.2,11,1.9
Tuberculosis,Australasia,2005,1-4 years,Both,0,0,25,2,3,0.2,28,2.2
Tuberculosis,Australasia,2005,5-9 years,Male,0,0,5,0.6,5,0.6,10,1.2
Tuberculosis,Australasia,2005,5-9 years,Female,0,0,4,0.5,3,0.4,7,0.9
Tuberculosis,Australasia,2005,5-9 years,Both,0,0,9,0.5,8,0.5,17,1
Tuberculosis,Australasia,2005,10-14 years,Male,0,0,5,0.6,10,1.1,15,1.7
Tuberculosis,Australasia,2005,10-14 years,Female,0,0,6,0.7,5,0.7,11,1.4
Tuberculosis,Australasia,2005,10-14 years,Both,0,0,11,0.7,15,0.9,27,1.6
Tuberculosis,Australasia,2005,15-19 years,Male,0,0,14,1.6,13,1.5,27,3.1
Tuberculosis,Australasia,2005,15-19 years,Female,0,0,4,0.5,8,0.9,12,1.5
Tuberculosis,Australasia,2005,15-19 years,Both,0,0,18,1.1,21,1.2,39,2.3
