cause_medium,region_name,year,age_name,sex_name,death_abs,death_rate,YLL_abs,YLL_rate,YLD_abs,YLD_rate,DALY_abs,DALY_rate
Tuberculosis,Central Asia,1990,0-6 days,Male,0,0,0,0,0,1.3,0,1.3
Tuberculosis,Central Asia,1990,0-6 days,Female,0,0,0,0,0,0.4,0,0.4
Tuberculosis,Central Asia,1990,0-6 days,Both,0,0,0,0,0,0.9,0,0.9
Tuberculosis,Central Asia,1990,7-27 days,Male,0,0,0,0,1,1.3,1,1.3
Tuberculosis,Central Asia,1990,7-27 days,Female,0,0,0,0,0,0.5,0,0.5
Tuberculosis,Central Asia,1990,7-27 days,Both,0,0,0,0,1,0.9,1,0.9
Tuberculosis,Central Asia,1990,28-364 days,Male,24,2.6,"2,025",223.4,12,1.3,"2,037",224.7
Tuberculosis,Central Asia,1990,28-364 days,Female,17,2,"1,492",172.3,4,0.5,"1,496",172.8
Tuberculosis,Central Asia,1990,28-364 days,Both,41,2.3,"3,517",198.5,16,0.9,"3,533",199.4
Tuberculosis,Central Asia,1990,1-4 years,Male,42,1.1,"3,490",93,175,4.7,"3,665",97.7
Tuberculosis,Central Asia,1990,1-4 years,Female,31,0.9,"2,608",72.6,58,1.6,"2,666",74.2
Tuberculosis,Central Asia,1990,1-4 years,Both,73,1,"6,097",83,234,3.2,"6,331",86.2
Tuberculosis,Central Asia,1990,5-9 years,Male,17,0.4,"1,325",31.8,440,10.6,"1,765",42.4
Tuberculosis,Central Asia,1990,5-9 years,Female,15,0.4,"1,152",28.4,162,4,"1,313",32.4
Tuberculosis,Central Asia,1990,5-9 years,Both,31,0.4,"2,477",30.1,602,7.3,"3,078",37.4
Tuberculosis,Central Asia,1990,10-14 years,Male,17,0.5,"1,220",33.7,609,16.8,"1,829",50.5
Tuberculosis,Central Asia,1990,10-14 years,Female,17,0.5,"1,275",36,252,7.1,"1,527",43.1
Tuberculosis,Central Asia,1990,10-14 years,Both,34,0.5,"2,495",34.8,861,12,"3,355",46.8
Tuberculosis,Central Asia,1990,15-19 years,Male,68,2,"4,634",139.5,762,22.9,"5,396",162.4
Tuberculosis,Central Asia,1990,15-19 years,Female,63,2,"4,302",134.1,359,11.2,"4,661",145.3
Tuberculosis,Central Asia,1990,15-19 years,Both,130,2,"8,936",136.8,"1,121",17.2,"10,057",154
Tuberculosis,Central Asia,1990,20-24 years,Male,239,8.1,"15,253",517.3,940,31.9,"16,193",549.2
Tuberculosis,Central Asia,1990,20-24 years,Female,163,5.5,"10,387",350.7,468,15.8,"10,855",366.5
Tuberculosis,Central Asia,1990,20-24 years,Both,402,6.8,"25,641",433.8,"1,408",23.8,"27,049",457.6
Tuberculosis,Central Asia,1990,25-29 years,Male,439,14.7,"25,854",863.4,"2,870",95.8,"28,724",959.2
Tuberculosis,Central Asia,1990,25-29 years,Female,241,7.8,"14,199",458.3,"1,320",42.6,"15,519",500.8
Tuberculosis,Central Asia,1990,25-29 years,Both,680,11.2,"40,053",657.3,"4,189",68.8,"44,242",726.1
Tuberculosis,Central Asia,1990,30-34 years,Male,561,21.1,"30,247","1,138.60","3,777",142.2,"34,025","1,280.80"
