cause_medium,region_name,year,age_name,sex_name,death_abs,death_rate,YLL_abs,YLL_rate,YLD_abs,YLD_rate,DALY_abs,DALY_rate
Tuberculosis,Southern sub-Saharan Africa,1990,0-6 days,Male,0,0,0,0,1,4.4,1,4.4
Tuberculosis,Southern sub-Saharan Africa,1990,0-6 days,Female,0,0,0,0,0,1.5,0,1.5
Tuberculosis,Southern sub-Saharan Africa,1990,0-6 days,Both,0,0,0,0,1,3,1,3
Tuberculosis,Southern sub-Saharan Africa,1990,7-27 days,Male,0,0,0,0,2,4.3,2,4.3
Tuberculosis,Southern sub-Saharan Africa,1990,7-27 days,Female,0,0,0,0,1,1.5,1,1.5
Tuberculosis,Southern sub-Saharan Africa,1990,7-27 days,Both,0,0,0,0,3,2.9,3,2.9
Tuberculosis,Southern sub-Saharan Africa,1990,28-364 days,Male,212,28.2,"18,186","2,422.30",32,4.3,"18,219","2,426.70"
Tuberculosis,Southern sub-Saharan Africa,1990,28-364 days,Female,167,22.8,"14,376","1,955.90",10,1.4,"14,386","1,957.30"
Tuberculosis,Southern sub-Saharan Africa,1990,28-364 days,Both,379,25.5,"32,562","2,191.60",43,2.9,"32,605","2,194.50"
Tuberculosis,Southern sub-Saharan Africa,1990,1-4 years,Male,524,16.7,"43,983","1,403.20",641,20.5,"44,624","1,423.60"
Tuberculosis,Southern sub-Saharan Africa,1990,1-4 years,Female,373,12.1,"31,290","1,016.30",209,6.8,"31,499","1,023.10"
Tuberculosis,Southern sub-Saharan Africa,1990,1-4 years,Both,897,14.4,"75,273","1,211.40",850,13.7,"76,124","1,225.10"
Tuberculosis,Southern sub-Saharan Africa,1990,5-9 years,Male,132,3.6,"10,369",284.4,"1,824",50,"12,194",334.5
Tuberculosis,Southern sub-Saharan Africa,1990,5-9 years,Female,118,3.3,"9,310",257.2,620,17.1,"9,929",274.3
Tuberculosis,Southern sub-Saharan Africa,1990,5-9 years,Both,250,3.4,"19,679",270.8,"2,444",33.6,"22,123",304.5
Tuberculosis,Southern sub-Saharan Africa,1990,10-14 years,Male,108,3.3,"7,918",244.2,"2,678",82.6,"10,596",326.8
Tuberculosis,Southern sub-Saharan Africa,1990,10-14 years,Female,95,2.9,"6,991",215.9,946,29.2,"7,937",245.1
Tuberculosis,Southern sub-Saharan Africa,1990,10-14 years,Both,202,3.1,"14,909",230.1,"3,624",55.9,"18,533",286
Tuberculosis,Southern sub-Saharan Africa,1990,15-19 years,Male,246,8.6,"16,882",592.3,"3,296",115.6,"20,178",707.9
Tuberculosis,Southern sub-Saharan Africa,1990,15-19 years,Female,210,7.3,"14,428",504.4,"1,216",42.5,"15,644",546.9
Tuberculosis,Southern sub-Saharan Africa,1990,15-19 years,Both,456,8,"31,311",548.3,"4,511",79,"35,822",627.3
Tuberculosis,Southern sub-Saharan Africa,1990,20-24 years,Male,548,22.6,"34,948","1,443.00","3,771",155.7,"38,719","1,598.70"
Tuberculosis,Southern sub-Saharan Africa,1990,20-24 years,Female,347,14.1,"22,162",900.7,"1,414",57.5,"23,576",958.2
Tuberculosis,Southern sub-Saharan Africa,1990,20-24 years,Both,895,18.3,"57,109","1,169.70","5,186",106.2,"62,295","1,275.90"
Tuberculosis,Southern sub-Saharan Africa,1990,25-29 years,Male,854,41.5,"50,313","2,442.30","8,974",435.6,"59,287","2,878.00"
Tuberculosis,Southern sub-Saharan Africa,1990,25-29 years,Female,399,19.2,"23,519","1,128.80","3,267",156.8,"26,786","1,285.60"
Tuberculosis,Southern sub-Saharan Africa,1990,25-29 years,Both,"1,254",30.3,"73,832","1,781.80","12,242",295.4,"86,073","2,077.20"
Tuberculosis,Southern sub-Saharan Africa,1990,30-34 years,Male,"1,059",59.8,"57,091","3,225.50","10,629",600.5,"67,721","3,826.00"
Tuberculosis,Southern sub-Saharan Africa,1990,30-34 years,Female,437,24.3,"23,547","1,308.60","3,624",201.4,"27,171","1,510.00"
Tuberculosis,Southern sub-Saharan Africa,1990,30-34 years,Both,"1,496",41.9,"80,639","2,259.20","14,253",399.3,"94,892","2,658.50"
Tuberculosis,Southern sub-Saharan Africa,1990,35-39 years,Male,"1,325",89.5,"64,936","4,387.70","10,514",710.4,"75,449","5,098.20"
Tuberculosis,Southern sub-Saharan Africa,1990,35-39 years,Female,437,29,"21,408","1,421.90","3,588",238.3,"24,996","1,660.20"
Tuberculosis,Southern sub-Saharan Africa,1990,35-39 years,Both,"1,762",59,"86,344","2,892.10","14,101",472.3,"100,446","3,364.40"
Tuberculosis,Southern sub-Saharan Africa,1990,40-44 years,Male,"1,424",124.7,"62,829","5,503.10","9,444",827.2,"72,273","6,330.30"
Tuberculosis,Southern sub-Saharan Africa,1990,40-44 years,Female,387,33.2,"17,070","1,465.50","3,248",278.9,"20,318","1,744.30"
Tuberculosis,Southern sub-Saharan Africa,1990,40-44 years,Both,"1,811",78.5,"79,899","3,464.10","12,692",550.3,"92,591","4,014.30"
Tuberculosis,Southern sub-Saharan Africa,1990,45-49 years,Male,"1,654",174.7,"65,063","6,870.30","9,362",988.6,"74,425","7,858.90"
Tuberculosis,Southern sub-Saharan Africa,1990,45-49 years,Female,424,42.8,"16,680","1,681.20","3,225",325.1,"19,905","2,006.30"
