cause_medium,region_name,year,age_name,sex_name,death_abs,death_rate,YLL_abs,YLL_rate,YLD_abs,YLD_rate,DALY_abs,DALY_rate
Tuberculosis,Western sub-Saharan Africa,1990,0-6 days,Male,0,0,0,0,3,3,3,3
Tuberculosis,Western sub-Saharan Africa,1990,0-6 days,Female,0,0,0,0,1,1.6,1,1.6
Tuberculosis,Western sub-Saharan Africa,1990,0-6 days,Both,0,0,0,0,4,2.3,4,2.3
Tuberculosis,Western sub-Saharan Africa,1990,7-27 days,Male,0,0,0,0,8,3,8,3
Tuberculosis,Western sub-Saharan Africa,1990,7-27 days,Female,0,0,0,0,4,1.7,4,1.7
Tuberculosis,Western sub-Saharan Africa,1990,7-27 days,Both,0,0,0,0,11,2.3,11,2.3
Tuberculosis,Western sub-Saharan Africa,1990,28-364 days,Male,"2,300",60.2,"197,151","5,161.40",110,2.9,"197,261","5,164.30"
Tuberculosis,Western sub-Saharan Africa,1990,28-364 days,Female,"3,643",98.6,"312,227","8,452.90",58,1.6,"312,285","8,454.40"
Tuberculosis,Western sub-Saharan Africa,1990,28-364 days,Both,"5,943",79.1,"509,378","6,779.50",168,2.2,"509,546","6,781.80"
Tuberculosis,Western sub-Saharan Africa,1990,1-4 years,Male,"3,934",27.7,"330,115","2,326.60","1,592",11.2,"331,707","2,337.80"
Tuberculosis,Western sub-Saharan Africa,1990,1-4 years,Female,"6,471",47,"542,874","3,943.10",851,6.2,"543,725","3,949.20"
Tuberculosis,Western sub-Saharan Africa,1990,1-4 years,Both,"10,405",37.2,"872,989","3,122.70","2,443",8.7,"875,432","3,131.40"
Tuberculosis,Western sub-Saharan Africa,1990,5-9 years,Male,753,5,"59,304",392.4,"4,203",27.8,"63,507",420.3
Tuberculosis,Western sub-Saharan Africa,1990,5-9 years,Female,751,5.1,"59,169",402.9,"2,283",15.5,"61,452",418.4
Tuberculosis,Western sub-Saharan Africa,1990,5-9 years,Both,"1,504",5,"118,473",397.6,"6,485",21.8,"124,958",419.3
Tuberculosis,Western sub-Saharan Africa,1990,10-14 years,Male,372,2.9,"27,494",214.9,"6,154",48.1,"33,648",263
Tuberculosis,Western sub-Saharan Africa,1990,10-14 years,Female,463,3.7,"34,290",275.1,"3,368",27,"37,658",302.2
Tuberculosis,Western sub-Saharan Africa,1990,10-14 years,Both,835,3.3,"61,783",244.6,"9,522",37.7,"71,306",282.3
Tuberculosis,Western sub-Saharan Africa,1990,15-19 years,Male,482,4.6,"33,141",315.2,"7,673",73,"40,813",388.1
Tuberculosis,Western sub-Saharan Africa,1990,15-19 years,Female,806,7.8,"55,361",533.9,"4,179",40.3,"59,540",574.2
Tuberculosis,Western sub-Saharan Africa,1990,15-19 years,Both,"1,288",6.2,"88,502",423.8,"11,852",56.7,"100,354",480.5
Tuberculosis,Western sub-Saharan Africa,1990,20-24 years,Male,"1,067",12.5,"68,090",799.6,"8,733",102.6,"76,823",902.1
Tuberculosis,Western sub-Saharan Africa,1990,20-24 years,Female,"1,481",17.4,"94,486","1,109.40","4,773",56,"99,259","1,165.40"
Tuberculosis,Western sub-Saharan Africa,1990,20-24 years,Both,"2,548",15,"162,575",954.5,"13,507",79.3,"176,082","1,033.80"
Tuberculosis,Western sub-Saharan Africa,1990,25-29 years,Male,"1,767",24.7,"104,087","1,455.00","19,658",274.8,"123,745","1,729.80"
