cause_medium,region_name,year,age_name,sex_name,death_abs,death_rate,YLL_abs,YLL_rate,YLD_abs,YLD_rate,DALY_abs,DALY_rate
Tuberculosis,Central Europe,1990,0-6 days,Male,0,0,0,0,0,0.6,0,0.6
Tuberculosis,Central Europe,1990,0-6 days,Female,0,0,0,0,0,0.2,0,0.2
Tuberculosis,Central Europe,1990,0-6 days,Both,0,0,0,0,0,0.4,0,0.4
Tuberculosis,Central Europe,1990,7-27 days,Male,0,0,0,0,0,0.6,0,0.6
Tuberculosis,Central Europe,1990,7-27 days,Female,0,0,0,0,0,0.2,0,0.2
Tuberculosis,Central Europe,1990,7-27 days,Both,0,0,0,0,0,0.4,0,0.4
Tuberculosis,Central Europe,1990,28-364 days,Male,12,1.5,"1,021",125.3,5,0.6,"1,025",125.9
Tuberculosis,Central Europe,1990,28-364 days,Female,9,1.1,733,95.3,2,0.2,735,95.5
Tuberculosis,Central Europe,1990,28-364 days,Both,20,1.3,"1,754",110.7,6,0.4,"1,760",111.1
Tuberculosis,Central Europe,1990,1-4 years,Male,12,0.3,971,25.9,86,2.3,"1,057",28.2
Tuberculosis,Central Europe,1990,1-4 years,Female,8,0.2,705,19.9,29,0.8,734,20.7
Tuberculosis,Central Europe,1990,1-4 years,Both,20,0.3,"1,676",23,115,1.6,"1,791",24.6
Tuberculosis,Central Europe,1990,5-9 years,Male,5,0.1,361,7.3,250,5.1,611,12.4
Tuberculosis,Central Europe,1990,5-9 years,Female,2,0.1,188,4,91,1.9,279,6
Tuberculosis,Central Europe,1990,5-9 years,Both,7,0.1,549,5.7,341,3.5,890,9.3
Tuberculosis,Central Europe,1990,10-14 years,Male,5,0.1,354,6.8,394,7.6,748,14.4
Tuberculosis,Central Europe,1990,10-14 years,Female,2,0,153,3.1,146,3,299,6
Tuberculosis,Central Europe,1990,10-14 years,Both,7,0.1,507,5,541,5.3,"1,047",10.3
Tuberculosis,Central Europe,1990,15-19 years,Male,11,0.2,754,15.5,496,10.2,"1,249",25.7
Tuberculosis,Central Europe,1990,15-19 years,Female,7,0.1,462,10,191,4.1,653,14.1
Tuberculosis,Central Europe,1990,15-19 years,Both,18,0.2,"1,216",12.8,687,7.2,"1,902",20
Tuberculosis,Central Europe,1990,20-24 years,Male,34,0.7,"2,145",47.7,606,13.5,"2,751",61.2
Tuberculosis,Central Europe,1990,20-24 years,Female,19,0.4,"1,216",28.2,234,5.4,"1,449",33.7
Tuberculosis,Central Europe,1990,20-24 years,Both,53,0.6,"3,361",38.2,840,9.5,"4,201",47.7
Tuberculosis,Central Europe,1990,25-29 years,Male,64,1.5,"3,768",88.4,"2,092",49.1,"5,860",137.4
Tuberculosis,Central Europe,1990,25-29 years,Female,25,0.6,"1,449",35.2,777,18.9,"2,226",54.1
Tuberculosis,Central Europe,1990,25-29 years,Both,89,1.1,"5,218",62.3,"2,868",34.2,"8,086",96.5
Tuberculosis,Central Europe,1990,30-34 years,Male,180,3.7,"9,702",202,"4,628",96.4,"14,330",298.3
Tuberculosis,Central Europe,1990,30-34 years,Female,42,0.9,"2,251",48.1,"1,546",33,"3,797",81.1
Tuberculosis,Central Europe,1990,30-34 years,Both,222,2.3,"11,953",126,"6,174",65.1,"18,127",191.1
Tuberculosis,Central Europe,1990,35-39 years,Male,306,6.3,"14,996",306.1,"4,600",93.9,"19,595",400
Tuberculosis,Central Europe,1990,35-39 years,Female,55,1.1,"2,700",55.9,"1,533",31.7,"4,232",87.6
Tuberculosis,Central Europe,1990,35-39 years,Both,361,3.7,"17,695",181.9,"6,132",63,"23,828",244.9
Tuberculosis,Central Europe,1990,40-44 years,Male,356,8.5,"15,677",375.4,"4,718",113,"20,395",488.4
Tuberculosis,Central Europe,1990,40-44 years,Female,57,1.4,"2,526",60.6,"1,637",39.3,"4,163",99.8
Tuberculosis,Central Europe,1990,40-44 years,Both,413,4.9,"18,203",218.1,"6,355",76.1,"24,558",294.2
Tuberculosis,Central Europe,1990,45-49 years,Male,380,11.9,"14,952",466.9,"4,668",145.8,"19,620",612.7
Tuberculosis,Central Europe,1990,45-49 years,Female,54,1.6,"2,109",63.8,"1,628",49.3,"3,738",113.1
Tuberculosis,Central Europe,1990,45-49 years,Both,434,6.7,"17,061",262.2,"6,296",96.8,"23,357",359
Tuberculosis,Central Europe,1990,50-54 years,Male,508,15.4,"17,605",534.7,"3,192",96.9,"20,798",631.6
Tuberculosis,Central Europe,1990,50-54 years,Female,73,2.1,"2,538",72.2,"1,387",39.5,"3,925",111.7
Tuberculosis,Central Europe,1990,50-54 years,Both,582,8.5,"20,144",295.9,"4,579",67.3,"24,723",363.2
Tuberculosis,Central Europe,1990,55-59 years,Male,570,17.6,"17,102",529.1,"3,151",97.5,"20,253",626.6
Tuberculosis,Central Europe,1990,55-59 years,Female,100,2.8,"3,000",84.5,"1,375",38.8,"4,375",123.3
Tuberculosis,Central Europe,1990,55-59 years,Both,670,9.9,"20,102",296.5,"4,526",66.7,"24,628",363.2
Tuberculosis,Central Europe,1990,60-64 years,Male,565,19.9,"14,412",507.1,"1,471",51.8,"15,883",558.8
Tuberculosis,Central Europe,1990,60-64 years,Female,134,4,"3,410",100.5,827,24.4,"4,237",124.8
Tuberculosis,Central Europe,1990,60-64 years,Both,699,11.2,"17,823",285.8,"2,298",36.9,"20,121",322.6
Tuberculosis,Central Europe,1990,65-69 years,Male,485,22.3,"10,229",469.9,"1,452",66.7,"11,681",536.6
Tuberculosis,Central Europe,1990,65-69 years,Female,178,6,"3,738",125.9,817,27.5,"4,555",153.4
Tuberculosis,Central Europe,1990,65-69 years,Both,663,12.9,"13,967",271.4,"2,269",44.1,"16,235",315.5
Tuberculosis,Central Europe,1990,70-74 years,Male,298,28,"5,025",472.1,689,64.7,"5,714",536.9
Tuberculosis,Central Europe,1990,70-74 years,Female,140,8.9,"2,355",148.7,456,28.8,"2,812",177.5
Tuberculosis,Central Europe,1990,70-74 years,Both,438,16.6,"7,380",278.7,"1,145",43.2,"8,525",322
Tuberculosis,Central Europe,1990,75-79 years,Male,368,35.3,"4,756",456.3,672,64.5,"5,428",520.8
Tuberculosis,Central Europe,1990,75-79 years,Female,224,13.2,"2,884",169.3,448,26.3,"3,332",195.6
Tuberculosis,Central Europe,1990,75-79 years,Both,592,21.6,"7,639",278.3,"1,121",40.8,"8,760",319.1
Tuberculosis,Central Europe,1990,80+ years,Male,347,43.2,"2,640",328.6,179,22.3,"2,820",351
Tuberculosis,Central Europe,1990,80+ years,Female,281,17.9,"2,027",129.2,128,8.2,"2,155",137.4
Tuberculosis,Central Europe,1990,80+ years,Both,628,26.5,"4,667",196.7,308,13,"4,975",209.7
Tuberculosis,Central Europe,1990,All ages,Male,"4,505",7.5,"136,470",227.9,"33,349",55.7,"169,819",283.5
Tuberculosis,Central Europe,1990,All ages,Female,"1,411",2.3,"34,444",55.3,"13,251",21.3,"47,696",76.5
Tuberculosis,Central Europe,1990,All ages,Both,"5,917",4.8,"170,914",139.8,"46,600",38.1,"217,515",178
Tuberculosis,Central Europe,2005,0-6 days,Male,0,0,0,0,0,0.5,0,0.5
Tuberculosis,Central Europe,2005,0-6 days,Female,0,0,0,0,0,0.2,0,0.2
Tuberculosis,Central Europe,2005,0-6 days,Both,0,0,0,0,0,0.3,0,0.3
Tuberculosis,Central Europe,2005,7-27 days,Male,0,0,0,0,0,0.5,0,0.5
Tuberculosis,Central Europe,2005,7-27 days,Female,0,0,0,0,0,0.1,0,0.1
Tuberculosis,Central Europe,2005,7-27 days,Both,0,0,0,0,0,0.3,0,0.3
Tuberculosis,Central Europe,2005,28-364 days,Male,4,0.7,363,64.4,3,0.4,365,64.8
Tuberculosis,Central Europe,2005,28-364 days,Female,3,0.5,220,41.4,1,0.2,221,41.5
Tuberculosis,Central Europe,2005,28-364 days,Both,7,0.6,583,53.2,3,0.3,586,53.5
Tuberculosis,Central Europe,2005,1-4 years,Male,4,0.1,305,12.6,46,1.9,351,14.5
Tuberculosis,Central Europe,2005,1-4 years,Female,3,0.1,278,12.1,16,0.7,294,12.8
Tuberculosis,Central Europe,2005,1-4 years,Both,7,0.1,583,12.3,62,1.3,645,13.7
Tuberculosis,Central Europe,2005,5-9 years,Male,1,0,111,3.4,144,4.4,255,7.9
Tuberculosis,Central Europe,2005,5-9 years,Female,1,0,64,2.1,49,1.6,113,3.7
Tuberculosis,Central Europe,2005,5-9 years,Both,2,0,175,2.8,192,3.1,367,5.8
Tuberculosis,Central Europe,2005,10-14 years,Male,2,0.1,145,3.8,260,6.9,405,10.7
Tuberculosis,Central Europe,2005,10-14 years,Female,1,0,98,2.7,88,2.4,185,5.2
Tuberculosis,Central Europe,2005,10-14 years,Both,3,0,242,3.3,348,4.7,590,8
Tuberculosis,Central Europe,2005,15-19 years,Male,7,0.2,502,11.2,402,9,904,20.1
Tuberculosis,Central Europe,2005,15-19 years,Female,5,0.1,338,7.9,141,3.3,479,11.1
Tuberculosis,Central Europe,2005,15-19 years,Both,12,0.1,841,9.6,543,6.2,"1,384",15.7
Tuberculosis,Central Europe,2005,20-24 years,Male,17,0.4,"1,092",23.1,567,12,"1,659",35.1
Tuberculosis,Central Europe,2005,20-24 years,Female,10,0.2,623,13.7,200,4.4,823,18.1
Tuberculosis,Central Europe,2005,20-24 years,Both,27,0.3,"1,714",18.5,767,8.3,"2,481",26.8
Tuberculosis,Central Europe,2005,25-29 years,Male,40,0.8,"2,334",47.9,"1,890",38.8,"4,223",86.7
Tuberculosis,Central Europe,2005,25-29 years,Female,20,0.4,"1,167",24.7,659,14,"1,826",38.7
Tuberculosis,Central Europe,2005,25-29 years,Both,60,0.6,"3,501",36.5,"2,548",26.6,"6,050",63.1
Tuberculosis,Central Europe,2005,30-34 years,Male,91,2,"4,905",109.7,"3,675",82.2,"8,580",191.9
Tuberculosis,Central Europe,2005,30-34 years,Female,25,0.6,"1,362",31.2,"1,222",28,"2,585",59.1
Tuberculosis,Central Europe,2005,30-34 years,Both,116,1.3,"6,267",70.9,"4,898",55.4,"11,165",126.3
Tuberculosis,Central Europe,2005,35-39 years,Male,164,4,"8,033",194.2,"3,655",88.3,"11,688",282.5
Tuberculosis,Central Europe,2005,35-39 years,Female,36,0.9,"1,777",43.5,"1,215",29.7,"2,992",73.2
Tuberculosis,Central Europe,2005,35-39 years,Both,201,2.4,"9,810",119.3,"4,870",59.2,"14,680",178.5
Tuberculosis,Central Europe,2005,40-44 years,Male,238,6.1,"10,492",269.3,"5,086",130.5,"15,578",399.8
Tuberculosis,Central Europe,2005,40-44 years,Female,41,1.1,"1,811",46.6,"1,756",45.2,"3,567",91.7
Tuberculosis,Central Europe,2005,40-44 years,Both,279,3.6,"12,303",158,"6,842",87.9,"19,145",245.9
Tuberculosis,Central Europe,2005,45-49 years,Male,423,9.7,"16,643",382.7,"5,035",115.8,"21,678",498.5
Tuberculosis,Central Europe,2005,45-49 years,Female,59,1.3,"2,305",51.9,"1,732",39,"4,036",90.9
Tuberculosis,Central Europe,2005,45-49 years,Both,482,5.5,"18,948",215.6,"6,766",77,"25,714",292.6
Tuberculosis,Central Europe,2005,50-54 years,Male,479,11.2,"16,595",386.2,"2,652",61.7,"19,247",447.9
Tuberculosis,Central Europe,2005,50-54 years,Female,62,1.4,"2,132",47.1,"1,038",22.9,"3,170",70.1
Tuberculosis,Central Europe,2005,50-54 years,Both,541,6.1,"18,727",212.3,"3,689",41.8,"22,416",254.1
Tuberculosis,Central Europe,2005,55-59 years,Male,399,11.4,"11,967",341.9,"2,620",74.9,"14,587",416.8
Tuberculosis,Central Europe,2005,55-59 years,Female,60,1.5,"1,785",46.4,"1,028",26.7,"2,813",73.1
Tuberculosis,Central Europe,2005,55-59 years,Both,458,6.2,"13,752",187.2,"3,648",49.6,"17,400",236.8
Tuberculosis,Central Europe,2005,60-64 years,Male,302,12.1,"7,690",308.8,"1,572",63.1,"9,262",372
Tuberculosis,Central Europe,2005,60-64 years,Female,60,2,"1,525",51.7,771,26.1,"2,296",77.8
Tuberculosis,Central Europe,2005,60-64 years,Both,362,6.6,"9,214",169.4,"2,343",43.1,"11,557",212.4
Tuberculosis,Central Europe,2005,65-69 years,Male,322,13.8,"6,776",290.3,"1,534",65.7,"8,311",356.1
Tuberculosis,Central Europe,2005,65-69 years,Female,92,3,"1,931",63.9,763,25.3,"2,693",89.2
Tuberculosis,Central Europe,2005,65-69 years,Both,414,7.7,"8,707",162.6,"2,297",42.9,"11,004",205.5
Tuberculosis,Central Europe,2005,70-74 years,Male,314,16,"5,296",268.9,836,42.5,"6,132",311.3
Tuberculosis,Central Europe,2005,70-74 years,Female,129,4.6,"2,152",77.2,534,19.1,"2,686",96.3
Tuberculosis,Central Europe,2005,70-74 years,Both,443,9.3,"7,449",156.6,"1,370",28.8,"8,818",185.4
Tuberculosis,Central Europe,2005,75-79 years,Male,257,18.9,"3,312",243.4,821,60.3,"4,132",303.7
Tuberculosis,Central Europe,2005,75-79 years,Female,154,6.9,"1,979",88.4,523,23.4,"2,502",111.8
Tuberculosis,Central Europe,2005,75-79 years,Both,411,11.4,"5,291",147,"1,344",37.3,"6,635",184.3
Tuberculosis,Central Europe,2005,80+ years,Male,233,23.2,"1,684",167.7,225,22.4,"1,910",190.1
Tuberculosis,Central Europe,2005,80+ years,Female,223,10.5,"1,526",71.5,173,8.1,"1,699",79.6
Tuberculosis,Central Europe,2005,80+ years,Both,456,14.5,"3,211",102.2,398,12.7,"3,609",114.9
Tuberculosis,Central Europe,2005,All ages,Male,"3,297",5.7,"98,246",169.5,"31,022",53.5,"129,268",223.1
Tuberculosis,Central Europe,2005,All ages,Female,983,1.6,"23,072",37.6,"11,906",19.4,"34,978",57
Tuberculosis,Central Europe,2005,All ages,Both,"4,281",3.6,"121,318",101.7,"42,928",36,"164,246",137.6
Tuberculosis,Central Europe,2010,0-6 days,Male,0,0,0,0,0,0.4,0,0.4
Tuberculosis,Central Europe,2010,0-6 days,Female,0,0,0,0,0,0.1,0,0.1
Tuberculosis,Central Europe,2010,0-6 days,Both,0,0,0,0,0,0.3,0,0.3
Tuberculosis,Central Europe,2010,7-27 days,Male,0,0,0,0,0,0.4,0,0.4
Tuberculosis,Central Europe,2010,7-27 days,Female,0,0,0,0,0,0.1,0,0.1
Tuberculosis,Central Europe,2010,7-27 days,Both,0,0,0,0,0,0.3,0,0.3
Tuberculosis,Central Europe,2010,28-364 days,Male,3,0.5,236,40,2,0.4,238,40.3
Tuberculosis,Central Europe,2010,28-364 days,Female,2,0.3,147,26.4,1,0.1,147,26.6
Tuberculosis,Central Europe,2010,28-364 days,Both,4,0.4,382,33.4,3,0.2,385,33.7
Tuberculosis,Central Europe,2010,1-4 years,Male,2,0.1,197,7.9,42,1.7,239,9.6
Tuberculosis,Central Europe,2010,1-4 years,Female,2,0.1,151,6.4,14,0.6,164,7
Tuberculosis,Central Europe,2010,1-4 years,Both,4,0.1,348,7.2,56,1.2,403,8.3
Tuberculosis,Central Europe,2010,5-9 years,Male,1,0,74,2.4,117,3.9,191,6.3
Tuberculosis,Central Europe,2010,5-9 years,Female,1,0,42,1.5,39,1.4,82,2.9
Tuberculosis,Central Europe,2010,5-9 years,Both,1,0,116,2,156,2.7,272,4.6
Tuberculosis,Central Europe,2010,10-14 years,Male,1,0,85,2.6,194,6,279,8.7
Tuberculosis,Central Europe,2010,10-14 years,Female,1,0,59,1.9,66,2.2,125,4.1
Tuberculosis,Central Europe,2010,10-14 years,Both,2,0,144,2.3,260,4.1,405,6.4
Tuberculosis,Central Europe,2010,15-19 years,Male,5,0.1,356,9.5,302,8,658,17.5
Tuberculosis,Central Europe,2010,15-19 years,Female,2,0.1,166,4.7,105,2.9,271,7.6
Tuberculosis,Central Europe,2010,15-19 years,Both,8,0.1,522,7.1,407,5.5,929,12.7
Tuberculosis,Central Europe,2010,20-24 years,Male,15,0.3,976,21.7,472,10.5,"1,447",32.2
Tuberculosis,Central Europe,2010,20-24 years,Female,7,0.2,428,9.9,165,3.8,593,13.8
Tuberculosis,Central Europe,2010,20-24 years,Both,22,0.2,"1,403",16,637,7.2,"2,040",23.2
Tuberculosis,Central Europe,2010,25-29 years,Male,26,0.5,"1,515",32.1,"1,727",36.6,"3,242",68.7
Tuberculosis,Central Europe,2010,25-29 years,Female,11,0.2,654,14.4,586,12.9,"1,240",27.3
Tuberculosis,Central Europe,2010,25-29 years,Both,37,0.4,"2,169",23.4,"2,312",25,"4,482",48.4
Tuberculosis,Central Europe,2010,30-34 years,Male,70,1.4,"3,764",77.4,"3,428",70.5,"7,192",147.8
Tuberculosis,Central Europe,2010,30-34 years,Female,18,0.4,952,20.2,"1,119",23.7,"2,071",44
Tuberculosis,Central Europe,2010,30-34 years,Both,88,0.9,"4,716",49.2,"4,547",47.5,"9,263",96.7
Tuberculosis,Central Europe,2010,35-39 years,Male,128,2.9,"6,266",140.7,"3,407",76.5,"9,674",217.2
Tuberculosis,Central Europe,2010,35-39 years,Female,26,0.6,"1,260",28.9,"1,113",25.5,"2,373",54.5
Tuberculosis,Central Europe,2010,35-39 years,Both,154,1.7,"7,527",85.4,"4,520",51.3,"12,047",136.7
Tuberculosis,Central Europe,2010,40-44 years,Male,203,5,"8,935",218.9,"4,248",104.1,"13,183",323
Tuberculosis,Central Europe,2010,40-44 years,Female,33,0.8,"1,446",35.7,"1,431",35.3,"2,877",71
Tuberculosis,Central Europe,2010,40-44 years,Both,236,2.9,"10,381",127.7,"5,678",69.8,"16,060",197.5
Tuberculosis,Central Europe,2010,45-49 years,Male,271,7.1,"10,656",279.3,"4,202",110.1,"14,857",389.5
Tuberculosis,Central Europe,2010,45-49 years,Female,38,1,"1,478",38.3,"1,412",36.6,"2,890",75
Tuberculosis,Central Europe,2010,45-49 years,Both,309,4,"12,133",158.2,"5,614",73.2,"17,748",231.4
Tuberculosis,Central Europe,2010,50-54 years,Male,381,9.1,"13,198",315.9,"2,749",65.8,"15,947",381.7
Tuberculosis,Central Europe,2010,50-54 years,Female,47,1.1,"1,621",37.1,"1,055",24.1,"2,676",61.2
Tuberculosis,Central Europe,2010,50-54 years,Both,428,5,"14,819",173.4,"3,804",44.5,"18,623",217.9
