cause_medium,region_name,year,age_name,sex_name,death_abs,death_rate,YLL_abs,YLL_rate,YLD_abs,YLD_rate,DALY_abs,DALY_rate
Tuberculosis,Eastern Europe,1990,0-6 days,Male,0,0,0,0,0,0.6,0,0.6
Tuberculosis,Eastern Europe,1990,0-6 days,Female,0,0,0,0,0,0.1,0,0.1
Tuberculosis,Eastern Europe,1990,0-6 days,Both,0,0,0,0,0,0.4,0,0.4
Tuberculosis,Eastern Europe,1990,7-27 days,Male,0,0,0,0,0,0.5,0,0.5
Tuberculosis,Eastern Europe,1990,7-27 days,Female,0,0,0,0,0,0.1,0,0.1
Tuberculosis,Eastern Europe,1990,7-27 days,Both,0,0,0,0,1,0.3,1,0.3
Tuberculosis,Eastern Europe,1990,28-364 days,Male,18,1.2,"1,520",104.8,8,0.6,"1,528",105.4
Tuberculosis,Eastern Europe,1990,28-364 days,Female,12,0.9,"1,033",74.9,2,0.1,"1,034",75
Tuberculosis,Eastern Europe,1990,28-364 days,Both,30,1.1,"2,553",90.2,10,0.3,"2,563",90.6
Tuberculosis,Eastern Europe,1990,1-4 years,Male,28,0.4,"2,316",33.7,161,2.3,"2,476",36
Tuberculosis,Eastern Europe,1990,1-4 years,Female,19,0.3,"1,623",24.7,30,0.5,"1,654",25.2
Tuberculosis,Eastern Europe,1990,1-4 years,Both,47,0.3,"3,939",29.3,191,1.4,"4,130",30.7
Tuberculosis,Eastern Europe,1990,5-9 years,Male,9,0.1,748,8.5,427,4.9,"1,175",13.4
Tuberculosis,Eastern Europe,1990,5-9 years,Female,6,0.1,444,5.2,92,1.1,536,6.3
Tuberculosis,Eastern Europe,1990,5-9 years,Both,15,0.1,"1,192",6.9,519,3,"1,711",9.9
Tuberculosis,Eastern Europe,1990,10-14 years,Male,6,0.1,450,5.5,620,7.6,"1,070",13.1
Tuberculosis,Eastern Europe,1990,10-14 years,Female,3,0,248,3.1,142,1.8,390,4.9
Tuberculosis,Eastern Europe,1990,10-14 years,Both,9,0.1,697,4.3,763,4.8,"1,460",9.1
Tuberculosis,Eastern Europe,1990,15-19 years,Male,46,0.6,"3,164",40.2,771,9.8,"3,935",50
Tuberculosis,Eastern Europe,1990,15-19 years,Female,19,0.3,"1,329",17.5,180,2.4,"1,509",19.8
Tuberculosis,Eastern Europe,1990,15-19 years,Both,65,0.4,"4,493",29,951,6.1,"5,444",35.2
Tuberculosis,Eastern Europe,1990,20-24 years,Male,235,3.2,"14,965",204.2,994,13.6,"15,959",217.8
Tuberculosis,Eastern Europe,1990,20-24 years,Female,68,1,"4,339",61.4,230,3.3,"4,570",64.6
Tuberculosis,Eastern Europe,1990,20-24 years,Both,303,2.1,"19,304",134.1,"1,224",8.5,"20,528",142.6
Tuberculosis,Eastern Europe,1990,25-29 years,Male,675,7.7,"39,736",455.4,"4,059",46.5,"43,795",501.9
Tuberculosis,Eastern Europe,1990,25-29 years,Female,122,1.4,"7,190",84,909,10.6,"8,099",94.6
Tuberculosis,Eastern Europe,1990,25-29 years,Both,797,4.6,"46,926",271.4,"4,968",28.7,"51,894",300.2
Tuberculosis,Eastern Europe,1990,30-34 years,Male,"1,362",14.5,"73,436",781.3,"8,288",88.2,"81,724",869.5
Tuberculosis,Eastern Europe,1990,30-34 years,Female,183,2,"9,853",105.1,"1,621",17.3,"11,474",122.4
Tuberculosis,Eastern Europe,1990,30-34 years,Both,"1,544",8.2,"83,289",443.7,"9,909",52.8,"93,198",496.5
Tuberculosis,Eastern Europe,1990,35-39 years,Male,"1,860",21.6,"91,141","1,058.40","8,178",95,"99,318","1,153.40"
Tuberculosis,Eastern Europe,1990,35-39 years,Female,203,2.3,"9,955",113.6,"1,615",18.4,"11,570",132.1
Tuberculosis,Eastern Europe,1990,35-39 years,Both,"2,063",11.9,"101,096",582,"9,792",56.4,"110,888",638.4
Tuberculosis,Eastern Europe,1990,40-44 years,Male,"1,909",27.5,"84,217","1,213.90","8,609",124.1,"92,827","1,338.00"
Tuberculosis,Eastern Europe,1990,40-44 years,Female,197,2.7,"8,698",120,"1,925",26.6,"10,623",146.5
Tuberculosis,Eastern Europe,1990,40-44 years,Both,"2,106",14.8,"92,916",654.9,"10,535",74.3,"103,450",729.1
Tuberculosis,Eastern Europe,1990,45-49 years,Male,"1,614",34.2,"63,494","1,346.80","8,555",181.5,"72,049","1,528.30"
Tuberculosis,Eastern Europe,1990,45-49 years,Female,152,2.9,"5,978",114.2,"1,932",36.9,"7,909",151.1
Tuberculosis,Eastern Europe,1990,45-49 years,Both,"1,766",17.8,"69,472",698.2,"10,486",105.4,"79,958",803.6
