cause_medium,region_name,year,age_name,sex_name,death_abs,death_rate,YLL_abs,YLL_rate,YLD_abs,YLD_rate,DALY_abs,DALY_rate
Tuberculosis,Eastern sub-Saharan Africa,1990,0-6 days,Male,0,0,0,0,3,3.1,3,3.1
Tuberculosis,Eastern sub-Saharan Africa,1990,0-6 days,Female,0,0,0,0,1,1.5,1,1.5
Tuberculosis,Eastern sub-Saharan Africa,1990,0-6 days,Both,0,0,0,0,4,2.3,4,2.3
Tuberculosis,Eastern sub-Saharan Africa,1990,7-27 days,Male,0,0,0,0,8,3.1,8,3.1
Tuberculosis,Eastern sub-Saharan Africa,1990,7-27 days,Female,0,0,0,0,4,1.6,4,1.6
Tuberculosis,Eastern sub-Saharan Africa,1990,7-27 days,Both,0,0,0,0,12,2.3,12,2.3
Tuberculosis,Eastern sub-Saharan Africa,1990,28-364 days,Male,"4,004",100.4,"343,175","8,601.60",120,3,"343,295","8,604.60"
Tuberculosis,Eastern sub-Saharan Africa,1990,28-364 days,Female,"3,079",78.4,"263,953","6,724.20",58,1.5,"264,011","6,725.70"
Tuberculosis,Eastern sub-Saharan Africa,1990,28-364 days,Both,"7,083",89.5,"607,128","7,670.50",178,2.2,"607,306","7,672.80"
Tuberculosis,Eastern sub-Saharan Africa,1990,1-4 years,Male,"7,771",51.9,"652,043","4,350.70","1,834",12.2,"653,877","4,362.90"
Tuberculosis,Eastern sub-Saharan Africa,1990,1-4 years,Female,"5,029",33.9,"421,893","2,847.30",959,6.5,"422,851","2,853.70"
Tuberculosis,Eastern sub-Saharan Africa,1990,1-4 years,Both,"12,800",42.9,"1,073,936","3,603.30","2,793",9.4,"1,076,728","3,612.60"
Tuberculosis,Eastern sub-Saharan Africa,1990,5-9 years,Male,855,5.5,"67,374",432.9,"4,769",30.6,"72,143",463.6
Tuberculosis,Eastern sub-Saharan Africa,1990,5-9 years,Female,567,3.7,"44,716",289.2,"2,672",17.3,"47,389",306.5
Tuberculosis,Eastern sub-Saharan Africa,1990,5-9 years,Both,"1,423",4.6,"112,090",361.3,"7,442",24,"119,532",385.3
Tuberculosis,Eastern sub-Saharan Africa,1990,10-14 years,Male,608,4.6,"44,844",339.1,"6,990",52.9,"51,834",392
Tuberculosis,Eastern sub-Saharan Africa,1990,10-14 years,Female,616,4.7,"45,431",345.8,"4,046",30.8,"49,477",376.5
Tuberculosis,Eastern sub-Saharan Africa,1990,10-14 years,Both,"1,223",4.6,"90,275",342.4,"11,037",41.9,"101,311",384.3
Tuberculosis,Eastern sub-Saharan Africa,1990,15-19 years,Male,"1,132",10.2,"77,711",703.4,"8,785",79.5,"86,496",783
Tuberculosis,Eastern sub-Saharan Africa,1990,15-19 years,Female,"1,333",12.1,"91,579",831.3,"5,289",48,"96,869",879.3
Tuberculosis,Eastern sub-Saharan Africa,1990,15-19 years,Both,"2,465",11.2,"169,290",767.3,"14,074",63.8,"183,365",831.1
Tuberculosis,Eastern sub-Saharan Africa,1990,20-24 years,Male,"2,599",28.7,"165,846","1,829.10","10,063",111,"175,909","1,940.10"
Tuberculosis,Eastern sub-Saharan Africa,1990,20-24 years,Female,"2,759",30.1,"176,056","1,922.50","6,134",67,"182,190","1,989.50"
Tuberculosis,Eastern sub-Saharan Africa,1990,20-24 years,Both,"5,358",29.4,"341,902","1,876.00","16,198",88.9,"358,099","1,964.90"
Tuberculosis,Eastern sub-Saharan Africa,1990,25-29 years,Male,"3,954",53.4,"232,981","3,143.60","22,412",302.4,"255,393","3,446.00"
Tuberculosis,Eastern sub-Saharan Africa,1990,25-29 years,Female,"3,904",51.4,"229,948","3,027.90","13,243",174.4,"243,191","3,202.30"
Tuberculosis,Eastern sub-Saharan Africa,1990,25-29 years,Both,"7,858",52.4,"462,929","3,085.00","35,655",237.6,"498,584","3,322.60"
Tuberculosis,Eastern sub-Saharan Africa,1990,30-34 years,Male,"4,721",78.2,"254,663","4,218.00","25,210",417.6,"279,874","4,635.50"
Tuberculosis,Eastern sub-Saharan Africa,1990,30-34 years,Female,"3,768",60.1,"203,280","3,240.50","14,104",224.8,"217,384","3,465.30"
Tuberculosis,Eastern sub-Saharan Africa,1990,30-34 years,Both,"8,489",69,"457,944","3,719.90","39,314",319.3,"497,258","4,039.20"
Tuberculosis,Eastern sub-Saharan Africa,1990,35-39 years,Male,"5,170",104.3,"253,492","5,115.00","24,976",504,"278,468","5,619.00"
Tuberculosis,Eastern sub-Saharan Africa,1990,35-39 years,Female,"3,813",73.3,"187,072","3,598.60","13,997",269.2,"201,069","3,867.80"
Tuberculosis,Eastern sub-Saharan Africa,1990,35-39 years,Both,"8,983",88.5,"440,564","4,338.70","38,973",383.8,"479,537","4,722.50"
Tuberculosis,Eastern sub-Saharan Africa,1990,40-44 years,Male,"4,778",116.4,"211,000","5,139.10","22,459",547,"233,460","5,686.10"
Tuberculosis,Eastern sub-Saharan Africa,1990,40-44 years,Female,"2,608",60.6,"115,328","2,677.30","12,654",293.7,"127,981","2,971.10"
