cause_medium,region_name,year,age_name,sex_name,death_abs,death_rate,YLL_abs,YLL_rate,YLD_abs,YLD_rate,DALY_abs,DALY_rate
Tuberculosis,High-income North America,1990,0-6 days,Male,0,0,0,0,0,0.2,0,0.2
Tuberculosis,High-income North America,1990,0-6 days,Female,0,0,0,0,0,0.1,0,0.1
Tuberculosis,High-income North America,1990,0-6 days,Both,0,0,0,0,0,0.2,0,0.2
Tuberculosis,High-income North America,1990,7-27 days,Male,0,0,0,0,0,0.1,0,0.1
Tuberculosis,High-income North America,1990,7-27 days,Female,0,0,0,0,0,0.1,0,0.1
Tuberculosis,High-income North America,1990,7-27 days,Both,0,0,0,0,0,0.1,0,0.1
Tuberculosis,High-income North America,1990,28-364 days,Male,1,0.1,104,5.2,3,0.2,108,5.3
Tuberculosis,High-income North America,1990,28-364 days,Female,1,0.1,104,5.4,2,0.1,105,5.5
Tuberculosis,High-income North America,1990,28-364 days,Both,2,0.1,208,5.3,5,0.1,213,5.4
Tuberculosis,High-income North America,1990,1-4 years,Male,2,0,204,2.4,55,0.6,259,3
Tuberculosis,High-income North America,1990,1-4 years,Female,2,0,191,2.3,28,0.3,219,2.7
Tuberculosis,High-income North America,1990,1-4 years,Both,5,0,395,2.4,83,0.5,478,2.9
Tuberculosis,High-income North America,1990,5-9 years,Male,1,0,102,1,153,1.5,255,2.5
Tuberculosis,High-income North America,1990,5-9 years,Female,1,0,70,0.7,75,0.8,144,1.5
Tuberculosis,High-income North America,1990,5-9 years,Both,2,0,172,0.9,228,1.1,399,2
Tuberculosis,High-income North America,1990,10-14 years,Male,1,0,78,0.8,224,2.3,302,3.1
Tuberculosis,High-income North America,1990,10-14 years,Female,1,0,54,0.6,116,1.2,170,1.8
Tuberculosis,High-income North America,1990,10-14 years,Both,2,0,132,0.7,341,1.8,473,2.5
Tuberculosis,High-income North America,1990,15-19 years,Male,2,0,140,1.4,306,3,446,4.4
Tuberculosis,High-income North America,1990,15-19 years,Female,2,0,125,1.3,166,1.7,292,3
Tuberculosis,High-income North America,1990,15-19 years,Both,4,0,266,1.4,472,2.4,737,3.8
Tuberculosis,High-income North America,1990,20-24 years,Male,8,0.1,486,4.5,479,4.4,965,8.9
Tuberculosis,High-income North America,1990,20-24 years,Female,10,0.1,638,6.1,251,2.4,889,8.5
Tuberculosis,High-income North America,1990,20-24 years,Both,18,0.1,"1,124",5.3,730,3.4,"1,854",8.7
Tuberculosis,High-income North America,1990,25-29 years,Male,20,0.2,"1,201",10.1,"1,700",14.2,"2,901",24.3
Tuberculosis,High-income North America,1990,25-29 years,Female,16,0.1,941,8,903,7.6,"1,845",15.6
