cause_medium,region_name,year,age_name,sex_name,death_abs,death_rate,YLL_abs,YLL_rate,YLD_abs,YLD_rate,DALY_abs,DALY_rate
Tuberculosis,North Africa and Middle East,1990,0-6 days,Male,0,0,0,0,4,4,4,4
Tuberculosis,North Africa and Middle East,1990,0-6 days,Female,0,0,0,0,2,2.3,2,2.3
Tuberculosis,North Africa and Middle East,1990,0-6 days,Both,0,0,0,0,6,3.2,6,3.2
Tuberculosis,North Africa and Middle East,1990,7-27 days,Male,0,0,0,0,11,3.9,11,3.9
Tuberculosis,North Africa and Middle East,1990,7-27 days,Female,0,0,0,0,6,2.3,6,2.3
Tuberculosis,North Africa and Middle East,1990,7-27 days,Both,0,0,0,0,17,3.1,17,3.1
Tuberculosis,North Africa and Middle East,1990,28-364 days,Male,496,11.2,"42,510",957.3,170,3.8,"42,680",961.1
Tuberculosis,North Africa and Middle East,1990,28-364 days,Female,564,13.3,"48,358","1,137.10",95,2.2,"48,454","1,139.30"
Tuberculosis,North Africa and Middle East,1990,28-364 days,Both,"1,059",12.2,"90,869","1,045.20",265,3,"91,134","1,048.30"
Tuberculosis,North Africa and Middle East,1990,1-4 years,Male,447,2.4,"37,542",198,"2,326",12.3,"39,868",210.3
Tuberculosis,North Africa and Middle East,1990,1-4 years,Female,479,2.6,"40,201",221.6,"1,300",7.2,"41,501",228.8
Tuberculosis,North Africa and Middle East,1990,1-4 years,Both,927,2.5,"77,742",209.6,"3,626",9.8,"81,369",219.3
Tuberculosis,North Africa and Middle East,1990,5-9 years,Male,189,0.9,"14,901",67,"6,386",28.7,"21,287",95.7
Tuberculosis,North Africa and Middle East,1990,5-9 years,Female,153,0.7,"12,027",56.4,"3,608",16.9,"15,635",73.3
Tuberculosis,North Africa and Middle East,1990,5-9 years,Both,342,0.8,"26,927",61.8,"9,994",22.9,"36,921",84.8
Tuberculosis,North Africa and Middle East,1990,10-14 years,Male,114,0.6,"8,408",44.1,"9,678",50.7,"18,087",94.8
Tuberculosis,North Africa and Middle East,1990,10-14 years,Female,128,0.7,"9,429",51.2,"5,576",30.3,"15,005",81.5
Tuberculosis,North Africa and Middle East,1990,10-14 years,Both,242,0.6,"17,837",47.6,"15,255",40.7,"33,092",88.3
Tuberculosis,North Africa and Middle East,1990,15-19 years,Male,242,1.5,"16,642",104.1,"12,613",78.9,"29,255",182.9
Tuberculosis,North Africa and Middle East,1990,15-19 years,Female,227,1.5,"15,621",100.4,"7,352",47.3,"22,972",147.7
Tuberculosis,North Africa and Middle East,1990,15-19 years,Both,470,1.5,"32,263",102.3,"19,965",63.3,"52,228",165.5
Tuberculosis,North Africa and Middle East,1990,20-24 years,Male,493,3.6,"31,448",228.5,"14,889",108.2,"46,336",336.8
Tuberculosis,North Africa and Middle East,1990,20-24 years,Female,349,2.6,"22,248",167.3,"8,654",65.1,"30,903",232.4
Tuberculosis,North Africa and Middle East,1990,20-24 years,Both,841,3.1,"53,696",198.5,"23,543",87,"77,239",285.5
Tuberculosis,North Africa and Middle East,1990,25-29 years,Male,664,5.6,"39,135",329.8,"33,858",285.3,"72,993",615.1
Tuberculosis,North Africa and Middle East,1990,25-29 years,Female,358,3.1,"21,081",181.6,"19,379",166.9,"40,459",348.4
Tuberculosis,North Africa and Middle East,1990,25-29 years,Both,"1,022",4.4,"60,216",256.5,"53,237",226.8,"113,452",483.2
Tuberculosis,North Africa and Middle East,1990,30-34 years,Male,718,7.1,"38,750",383.7,"35,408",350.6,"74,158",734.3
Tuberculosis,North Africa and Middle East,1990,30-34 years,Female,325,3.3,"17,536",180.6,"19,401",199.8,"36,937",380.3
Tuberculosis,North Africa and Middle East,1990,30-34 years,Both,"1,043",5.3,"56,286",284.1,"54,809",276.7,"111,095",560.8
Tuberculosis,North Africa and Middle East,1990,35-39 years,Male,774,9.1,"37,950",443.8,"35,016",409.5,"72,966",853.3
Tuberculosis,North Africa and Middle East,1990,35-39 years,Female,332,4.1,"16,277",201.8,"19,224",238.3,"35,500",440
Tuberculosis,North Africa and Middle East,1990,35-39 years,Both,"1,106",6.7,"54,226",326.3,"54,240",326.4,"108,466",652.7
Tuberculosis,North Africa and Middle East,1990,40-44 years,Male,624,9.7,"27,548",427,"27,583",427.5,"55,131",854.5
Tuberculosis,North Africa and Middle East,1990,40-44 years,Female,269,4.3,"11,852",191,"15,081",243.1,"26,933",434.1
Tuberculosis,North Africa and Middle East,1990,40-44 years,Both,893,7.1,"39,400",311.3,"42,664",337.1,"82,064",648.4
Tuberculosis,North Africa and Middle East,1990,45-49 years,Male,573,11.6,"22,525",456.8,"27,259",552.7,"49,784","1,009.50"
Tuberculosis,North Africa and Middle East,1990,45-49 years,Female,254,5.3,"9,994",206.5,"14,935",308.5,"24,929",515
Tuberculosis,North Africa and Middle East,1990,45-49 years,Both,827,8.5,"32,519",332.8,"42,194",431.8,"74,713",764.5
Tuberculosis,North Africa and Middle East,1990,50-54 years,Male,656,14.9,"22,694",517.2,"17,793",405.5,"40,487",922.6
Tuberculosis,North Africa and Middle East,1990,50-54 years,Female,317,7.1,"10,979",245.6,"9,767",218.5,"20,746",464.1
Tuberculosis,North Africa and Middle East,1990,50-54 years,Both,973,11,"33,674",380.1,"27,559",311.1,"61,233",691.2
Tuberculosis,North Africa and Middle East,1990,55-59 years,Male,776,19.7,"23,275",591.3,"17,535",445.5,"40,811","1,036.80"
Tuberculosis,North Africa and Middle East,1990,55-59 years,Female,327,8.3,"9,793",248.8,"9,647",245.1,"19,440",494
Tuberculosis,North Africa and Middle East,1990,55-59 years,Both,"1,103",14,"33,068",420.1,"27,183",345.3,"60,251",765.4
Tuberculosis,North Africa and Middle East,1990,60-64 years,Male,854,27.3,"21,752",694.5,"7,295",232.9,"29,048",927.5
Tuberculosis,North Africa and Middle East,1990,60-64 years,Female,385,12.1,"9,796",306.9,"4,287",134.3,"14,084",441.3
Tuberculosis,North Africa and Middle East,1990,60-64 years,Both,"1,239",19.6,"31,549",498.9,"11,583",183.2,"43,131",682.1
Tuberculosis,North Africa and Middle East,1990,65-69 years,Male,856,38.2,"18,028",804,"7,129",318,"25,157","1,122.00"
Tuberculosis,North Africa and Middle East,1990,65-69 years,Female,418,18.5,"8,788",388.2,"4,212",186,"13,000",574.3
Tuberculosis,North Africa and Middle East,1990,65-69 years,Both,"1,275",28.3,"26,816",595.1,"11,341",251.7,"38,157",846.8
Tuberculosis,North Africa and Middle East,1990,70-74 years,Male,748,53.7,"12,594",904.5,"2,213",158.9,"14,807","1,063.40"
Tuberculosis,North Africa and Middle East,1990,70-74 years,Female,419,27.3,"7,030",458.1,"1,424",92.8,"8,453",550.9
Tuberculosis,North Africa and Middle East,1990,70-74 years,Both,"1,167",39.9,"19,623",670.5,"3,637",124.3,"23,260",794.7
