cause_medium,region_name,year,age_name,sex_name,death_abs,death_rate,YLL_abs,YLL_rate,YLD_abs,YLD_rate,DALY_abs,DALY_rate
Tuberculosis,Andean Latin America,1990,0-6 days,Male,0,0,0,0,0,3.2,0,3.2
Tuberculosis,Andean Latin America,1990,0-6 days,Female,0,0,0,0,0,2,0,2
Tuberculosis,Andean Latin America,1990,0-6 days,Both,0,0,0,0,1,2.6,1,2.6
Tuberculosis,Andean Latin America,1990,7-27 days,Male,0,0,0,0,1,3.2,1,3.2
Tuberculosis,Andean Latin America,1990,7-27 days,Female,0,0,0,0,1,2.1,1,2.1
Tuberculosis,Andean Latin America,1990,7-27 days,Both,0,0,0,0,2,2.7,2,2.7
Tuberculosis,Andean Latin America,1990,28-364 days,Male,94,17.5,"8,079","1,504.40",17,3.2,"8,096","1,507.60"
Tuberculosis,Andean Latin America,1990,28-364 days,Female,70,13.6,"6,022","1,169.80",10,2,"6,032","1,171.80"
Tuberculosis,Andean Latin America,1990,28-364 days,Both,164,15.6,"14,101","1,340.70",27,2.6,"14,128","1,343.30"
Tuberculosis,Andean Latin America,1990,1-4 years,Male,213,9.7,"17,893",810.1,259,11.7,"18,152",821.9
Tuberculosis,Andean Latin America,1990,1-4 years,Female,194,9.2,"16,290",769.1,161,7.6,"16,451",776.8
Tuberculosis,Andean Latin America,1990,1-4 years,Both,407,9.4,"34,182",790.1,421,9.7,"34,603",799.8
Tuberculosis,Andean Latin America,1990,5-9 years,Male,107,4.3,"8,468",336.5,771,30.6,"9,239",367.2
Tuberculosis,Andean Latin America,1990,5-9 years,Female,101,4.1,"7,988",326.9,467,19.1,"8,455",346.1
Tuberculosis,Andean Latin America,1990,5-9 years,Both,209,4.2,"16,456",331.8,"1,238",25,"17,695",356.8
Tuberculosis,Andean Latin America,1990,10-14 years,Male,89,3.8,"6,579",280.4,"1,281",54.6,"7,860",335
Tuberculosis,Andean Latin America,1990,10-14 years,Female,111,4.8,"8,178",357.7,786,34.4,"8,964",392
Tuberculosis,Andean Latin America,1990,10-14 years,Both,200,4.3,"14,757",318.5,"2,067",44.6,"16,824",363.2
Tuberculosis,Andean Latin America,1990,15-19 years,Male,200,9.5,"13,709",651.9,"1,885",89.7,"15,594",741.6
Tuberculosis,Andean Latin America,1990,15-19 years,Female,214,10.4,"14,726",715.1,"1,120",54.4,"15,846",769.5
Tuberculosis,Andean Latin America,1990,15-19 years,Both,414,9.9,"28,434",683.2,"3,005",72.2,"31,440",755.4
Tuberculosis,Andean Latin America,1990,20-24 years,Male,342,18.7,"21,852","1,191.30","2,345",127.9,"24,197","1,319.20"
Tuberculosis,Andean Latin America,1990,20-24 years,Female,297,16.4,"18,954","1,048.20","1,392",77,"20,346","1,125.20"
Tuberculosis,Andean Latin America,1990,20-24 years,Both,639,17.6,"40,806","1,120.30","3,737",102.6,"44,542","1,222.90"
Tuberculosis,Andean Latin America,1990,25-29 years,Male,379,24.1,"22,341","1,421.10","5,230",332.7,"27,571","1,753.80"
Tuberculosis,Andean Latin America,1990,25-29 years,Female,311,19.9,"18,290","1,171.00","3,173",203.1,"21,463","1,374.10"
Tuberculosis,Andean Latin America,1990,25-29 years,Both,690,22,"40,631","1,296.40","8,404",268.1,"49,034","1,564.60"
Tuberculosis,Andean Latin America,1990,30-34 years,Male,374,28.6,"20,182","1,543.50","5,486",419.6,"25,668","1,963.10"
Tuberculosis,Andean Latin America,1990,30-34 years,Female,291,22.2,"15,690","1,198.40","3,427",261.7,"19,116","1,460.10"
Tuberculosis,Andean Latin America,1990,30-34 years,Both,665,25.4,"35,872","1,370.80","8,913",340.6,"44,785","1,711.40"
Tuberculosis,Andean Latin America,1990,35-39 years,Male,378,34.8,"18,542","1,705.00","5,431",499.4,"23,973","2,204.50"
Tuberculosis,Andean Latin America,1990,35-39 years,Female,272,24.7,"13,323","1,212.60","3,397",309.2,"16,720","1,521.80"
Tuberculosis,Andean Latin America,1990,35-39 years,Both,650,29.7,"31,865","1,457.60","8,828",403.8,"40,693","1,861.40"
Tuberculosis,Andean Latin America,1990,40-44 years,Male,349,40.4,"15,427","1,785.80","5,098",590.1,"20,525","2,375.90"
Tuberculosis,Andean Latin America,1990,40-44 years,Female,235,26.9,"10,377","1,185.90","3,288",375.7,"13,665","1,561.70"
Tuberculosis,Andean Latin America,1990,40-44 years,Both,584,33.6,"25,804","1,484.00","8,385",482.2,"34,190","1,966.20"
Tuberculosis,Andean Latin America,1990,45-49 years,Male,379,52.5,"14,898","2,064.40","5,054",700.3,"19,952","2,764.70"
Tuberculosis,Andean Latin America,1990,45-49 years,Female,238,32.5,"9,378","1,278.90","3,257",444.1,"12,635","1,723.00"
Tuberculosis,Andean Latin America,1990,45-49 years,Both,617,42.4,"24,276","1,668.50","8,311",571.2,"32,587","2,239.70"
Tuberculosis,Andean Latin America,1990,50-54 years,Male,429,69.6,"14,867","2,408.70","3,983",645.4,"18,850","3,054.10"
Tuberculosis,Andean Latin America,1990,50-54 years,Female,253,40,"8,763","1,384.70","2,636",416.5,"11,399","1,801.20"
Tuberculosis,Andean Latin America,1990,50-54 years,Both,682,54.6,"23,630","1,890.30","6,619",529.5,"30,249","2,419.80"
Tuberculosis,Andean Latin America,1990,55-59 years,Male,458,90,"13,753","2,699.30","3,933",771.9,"17,686","3,471.20"
Tuberculosis,Andean Latin America,1990,55-59 years,Female,259,48.9,"7,773","1,465.40","2,615",492.9,"10,388","1,958.30"
Tuberculosis,Andean Latin America,1990,55-59 years,Both,718,69,"21,526","2,069.90","6,548",629.6,"28,074","2,699.50"
Tuberculosis,Andean Latin America,1990,60-64 years,Male,476,118.8,"12,130","3,024.60","1,876",467.7,"14,005","3,492.30"
Tuberculosis,Andean Latin America,1990,60-64 years,Female,301,70.3,"7,655","1,788.50","1,308",305.5,"8,962","2,094.10"
Tuberculosis,Andean Latin America,1990,60-64 years,Both,777,93.7,"19,784","2,386.50","3,183",384,"22,968","2,770.50"
Tuberculosis,Andean Latin America,1990,65-69 years,Male,452,154.7,"9,516","3,254.60","1,837",628.1,"11,353","3,882.80"
Tuberculosis,Andean Latin America,1990,65-69 years,Female,299,92.6,"6,274","1,945.90","1,285",398.6,"7,560","2,344.50"
Tuberculosis,Andean Latin America,1990,65-69 years,Both,751,122.1,"15,791","2,568.30","3,122",507.7,"18,912","3,076.00"
Tuberculosis,Andean Latin America,1990,70-74 years,Male,426,211.8,"7,168","3,562.10",617,306.7,"7,786","3,868.80"
Tuberculosis,Andean Latin America,1990,70-74 years,Female,321,137.2,"5,394","2,302.70",476,203,"5,869","2,505.80"
Tuberculosis,Andean Latin America,1990,70-74 years,Both,747,171.6,"12,562","2,884.70","1,093",250.9,"13,655","3,135.60"
Tuberculosis,Andean Latin America,1990,75-79 years,Male,363,281.6,"4,683","3,630.60",606,469.4,"5,289","4,100.10"
Tuberculosis,Andean Latin America,1990,75-79 years,Female,281,174.1,"3,608","2,239.00",464,288.2,"4,072","2,527.20"
Tuberculosis,Andean Latin America,1990,75-79 years,Both,644,221.9,"8,291","2,857.80","1,070",368.8,"9,361","3,226.60"
Tuberculosis,Andean Latin America,1990,80+ years,Male,296,321,"2,170","2,356.70",120,130.4,"2,290","2,487.10"
Tuberculosis,Andean Latin America,1990,80+ years,Female,251,188.9,"1,775","1,334.00",99,74.6,"1,875","1,408.60"
