cause_medium,region_name,year,age_name,sex_name,death_abs,death_rate,YLL_abs,YLL_rate,YLD_abs,YLD_rate,DALY_abs,DALY_rate
Tuberculosis,Caribbean,1990,0-6 days,Male,0,0,0,0,0,4.8,0,4.8
Tuberculosis,Caribbean,1990,0-6 days,Female,0,0,0,0,0,2.8,0,2.8
Tuberculosis,Caribbean,1990,0-6 days,Both,0,0,0,0,1,3.8,1,3.8
Tuberculosis,Caribbean,1990,7-27 days,Male,0,0,0,0,1,4.8,1,4.8
Tuberculosis,Caribbean,1990,7-27 days,Female,0,0,0,0,1,2.8,1,2.8
Tuberculosis,Caribbean,1990,7-27 days,Both,0,0,0,0,2,3.8,2,3.8
Tuberculosis,Caribbean,1990,28-364 days,Male,177,42.1,"16,717","3,972.90",19,4.6,"16,737","3,977.50"
Tuberculosis,Caribbean,1990,28-364 days,Female,146,35.9,"13,849","3,411.30",11,2.7,"13,860","3,414.00"
Tuberculosis,Caribbean,1990,28-364 days,Both,323,39,"30,566","3,696.80",30,3.7,"30,597","3,700.50"
Tuberculosis,Caribbean,1990,1-4 years,Male,305,17.2,"28,282","1,598.60",285,16.1,"28,567","1,614.70"
Tuberculosis,Caribbean,1990,1-4 years,Female,215,12.6,"20,076","1,171.40",158,9.2,"20,234","1,180.60"
Tuberculosis,Caribbean,1990,1-4 years,Both,520,14.9,"48,358","1,388.30",443,12.7,"48,801","1,401.00"
Tuberculosis,Caribbean,1990,5-9 years,Male,59,2.9,"5,069",249.2,789,38.8,"5,858",288
Tuberculosis,Caribbean,1990,5-9 years,Female,70,3.5,"6,045",304.8,450,22.7,"6,495",327.5
Tuberculosis,Caribbean,1990,5-9 years,Both,129,3.2,"11,114",276.7,"1,239",30.8,"12,353",307.5
Tuberculosis,Caribbean,1990,10-14 years,Male,45,2.5,"3,556",197.3,"1,246",69.1,"4,801",266.4
Tuberculosis,Caribbean,1990,10-14 years,Female,52,2.9,"4,177",234.6,735,41.3,"4,911",275.9
Tuberculosis,Caribbean,1990,10-14 years,Both,97,2.7,"7,732",215.8,"1,980",55.3,"9,713",271.1
Tuberculosis,Caribbean,1990,15-19 years,Male,94,5.1,"6,520",353.5,"1,883",102.1,"8,403",455.6
Tuberculosis,Caribbean,1990,15-19 years,Female,74,4,"5,471",296.9,"1,158",62.9,"6,629",359.8
