cause_medium,region_name,year,age_name,sex_name,death_abs,death_rate,YLL_abs,YLL_rate,YLD_abs,YLD_rate,DALY_abs,DALY_rate
Tuberculosis,Central Latin America,1990,0-6 days,Male,0,0,0,0,0,1,0,1
Tuberculosis,Central Latin America,1990,0-6 days,Female,0,0,0,0,0,0.5,0,0.5
Tuberculosis,Central Latin America,1990,0-6 days,Both,0,0,0,0,1,0.8,1,0.8
Tuberculosis,Central Latin America,1990,7-27 days,Male,0,0,0,0,1,1,1,1
Tuberculosis,Central Latin America,1990,7-27 days,Female,0,0,0,0,1,0.5,1,0.5
Tuberculosis,Central Latin America,1990,7-27 days,Both,0,0,0,0,2,0.8,2,0.8
Tuberculosis,Central Latin America,1990,28-364 days,Male,102,4.6,"8,743",392.6,22,1,"8,765",393.6
Tuberculosis,Central Latin America,1990,28-364 days,Female,80,3.7,"6,851",321.2,11,0.5,"6,862",321.7
Tuberculosis,Central Latin America,1990,28-364 days,Both,182,4.2,"15,594",357.6,32,0.7,"15,626",358.4
Tuberculosis,Central Latin America,1990,1-4 years,Male,169,1.8,"14,190",152.6,294,3.2,"14,484",155.8
Tuberculosis,Central Latin America,1990,1-4 years,Female,169,1.9,"14,152",158.7,149,1.7,"14,300",160.3
Tuberculosis,Central Latin America,1990,1-4 years,Both,338,1.9,"28,342",155.6,443,2.4,"28,785",158
Tuberculosis,Central Latin America,1990,5-9 years,Male,79,0.7,"6,239",57.4,804,7.4,"7,043",64.8
Tuberculosis,Central Latin America,1990,5-9 years,Female,78,0.7,"6,124",58.2,432,4.1,"6,556",62.3
Tuberculosis,Central Latin America,1990,5-9 years,Both,157,0.7,"12,363",57.8,"1,236",5.8,"13,599",63.6
Tuberculosis,Central Latin America,1990,10-14 years,Male,64,0.6,"4,699",45.8,"1,290",12.6,"5,989",58.4
Tuberculosis,Central Latin America,1990,10-14 years,Female,74,0.7,"5,496",55,719,7.2,"6,215",62.2
Tuberculosis,Central Latin America,1990,10-14 years,Both,138,0.7,"10,195",50.4,"2,009",9.9,"12,204",60.3
