cause_medium,region_name,year,age_name,sex_name,death_abs,death_rate,YLL_abs,YLL_rate,YLD_abs,YLD_rate,DALY_abs,DALY_rate
Tuberculosis,Central sub-Saharan Africa,1990,0-6 days,Male,0,0,0,0,1,3.8,1,3.8
Tuberculosis,Central sub-Saharan Africa,1990,0-6 days,Female,0,0,0,0,0,1.7,0,1.7
Tuberculosis,Central sub-Saharan Africa,1990,0-6 days,Both,0,0,0,0,1,2.8,1,2.8
Tuberculosis,Central sub-Saharan Africa,1990,7-27 days,Male,0,0,0,0,3,3.8,3,3.8
Tuberculosis,Central sub-Saharan Africa,1990,7-27 days,Female,0,0,0,0,1,1.8,1,1.8
Tuberculosis,Central sub-Saharan Africa,1990,7-27 days,Both,0,0,0,0,4,2.8,4,2.8
Tuberculosis,Central sub-Saharan Africa,1990,28-364 days,Male,506,44.5,"43,394","3,816.60",42,3.7,"43,436","3,820.30"
Tuberculosis,Central sub-Saharan Africa,1990,28-364 days,Female,496,44.5,"42,507","3,818.20",19,1.7,"42,526","3,819.90"
Tuberculosis,Central sub-Saharan Africa,1990,28-364 days,Both,"1,002",44.5,"85,901","3,817.40",61,2.7,"85,962","3,820.10"
Tuberculosis,Central sub-Saharan Africa,1990,1-4 years,Male,"1,723",41.9,"144,547","3,516.70",654,15.9,"145,201","3,532.60"
Tuberculosis,Central sub-Saharan Africa,1990,1-4 years,Female,"1,203",29.6,"100,944","2,484.20",290,7.1,"101,235","2,491.40"
Tuberculosis,Central sub-Saharan Africa,1990,1-4 years,Both,"2,926",35.8,"245,491","3,003.40",944,11.5,"246,435","3,014.90"
Tuberculosis,Central sub-Saharan Africa,1990,5-9 years,Male,198,4.9,"15,633",389.8,"1,682",41.9,"17,314",431.7
Tuberculosis,Central sub-Saharan Africa,1990,5-9 years,Female,141,3.5,"11,139",278.6,744,18.6,"11,884",297.3
Tuberculosis,Central sub-Saharan Africa,1990,5-9 years,Both,340,4.2,"26,772",334.3,"2,426",30.3,"29,198",364.6
Tuberculosis,Central sub-Saharan Africa,1990,10-14 years,Male,119,3.6,"8,771",269.1,"2,355",72.3,"11,126",341.4
Tuberculosis,Central sub-Saharan Africa,1990,10-14 years,Female,126,3.9,"9,327",286.9,"1,044",32.1,"10,371",319
Tuberculosis,Central sub-Saharan Africa,1990,10-14 years,Both,245,3.8,"18,098",278,"3,400",52.2,"21,498",330.2
Tuberculosis,Central sub-Saharan Africa,1990,15-19 years,Male,257,9.5,"17,641",652.7,"2,972",110,"20,613",762.7
Tuberculosis,Central sub-Saharan Africa,1990,15-19 years,Female,313,11.6,"21,497",794.9,"1,317",48.7,"22,814",843.6
Tuberculosis,Central sub-Saharan Africa,1990,15-19 years,Both,570,10.5,"39,138",723.8,"4,289",79.3,"43,427",803.2
Tuberculosis,Central sub-Saharan Africa,1990,20-24 years,Male,617,27.4,"39,344","1,748.70","3,436",152.7,"42,780","1,901.40"
Tuberculosis,Central sub-Saharan Africa,1990,20-24 years,Female,732,32.3,"46,732","2,060.60","1,537",67.8,"48,269","2,128.40"
Tuberculosis,Central sub-Saharan Africa,1990,20-24 years,Both,"1,349",29.9,"86,075","1,905.30","4,973",110.1,"91,048","2,015.30"
Tuberculosis,Central sub-Saharan Africa,1990,25-29 years,Male,"1,017",54.3,"59,918","3,197.10","7,828",417.7,"67,746","3,614.70"
Tuberculosis,Central sub-Saharan Africa,1990,25-29 years,Female,922,48.5,"54,335","2,856.50","3,462",182,"57,797","3,038.50"
Tuberculosis,Central sub-Saharan Africa,1990,25-29 years,Both,"1,939",51.3,"114,253","3,025.50","11,290",299,"125,543","3,324.50"
Tuberculosis,Central sub-Saharan Africa,1990,30-34 years,Male,"1,240",80.3,"66,934","4,333.50","9,179",594.3,"76,113","4,927.80"
Tuberculosis,Central sub-Saharan Africa,1990,30-34 years,Female,923,58.5,"49,822","3,157.70","3,983",252.5,"53,805","3,410.10"
Tuberculosis,Central sub-Saharan Africa,1990,30-34 years,Both,"2,164",69.3,"116,756","3,739.30","13,162",421.5,"129,918","4,160.90"
Tuberculosis,Central sub-Saharan Africa,1990,35-39 years,Male,"1,483",116.7,"72,710","5,722.40","9,089",715.3,"81,799","6,437.70"
Tuberculosis,Central sub-Saharan Africa,1990,35-39 years,Female,"1,007",77,"49,387","3,776.90","3,944",301.6,"53,331","4,078.50"
Tuberculosis,Central sub-Saharan Africa,1990,35-39 years,Both,"2,489",96.5,"122,097","4,735.70","13,033",505.5,"135,130","5,241.20"
Tuberculosis,Central sub-Saharan Africa,1990,40-44 years,Male,"1,539",148.5,"67,991","6,558.70","8,066",778.1,"76,057","7,336.70"
Tuberculosis,Central sub-Saharan Africa,1990,40-44 years,Female,780,71.3,"34,469","3,153.60","3,730",341.3,"38,200","3,494.90"
Tuberculosis,Central sub-Saharan Africa,1990,40-44 years,Both,"2,319",108.9,"102,460","4,811.10","11,796",553.9,"114,256","5,365.00"
Tuberculosis,Central sub-Saharan Africa,1990,45-49 years,Male,"1,741",202,"68,518","7,952.30","7,972",925.3,"76,490","8,877.60"
Tuberculosis,Central sub-Saharan Africa,1990,45-49 years,Female,749,80.3,"29,512","3,163.70","3,704",397.1,"33,216","3,560.80"
Tuberculosis,Central sub-Saharan Africa,1990,45-49 years,Both,"2,490",138.8,"98,029","5,463.00","11,676",650.7,"109,706","6,113.70"
Tuberculosis,Central sub-Saharan Africa,1990,50-54 years,Male,"1,868",267.7,"64,774","9,281.70","4,645",665.6,"69,418","9,947.30"
Tuberculosis,Central sub-Saharan Africa,1990,50-54 years,Female,874,111.9,"30,276","3,879.60","2,475",317.1,"32,751","4,196.70"
Tuberculosis,Central sub-Saharan Africa,1990,50-54 years,Both,"2,742",185.5,"95,050","6,429.90","7,119",481.6,"102,169","6,911.50"
Tuberculosis,Central sub-Saharan Africa,1990,55-59 years,Male,"1,816",327.6,"54,555","9,840.00","4,588",827.5,"59,142","10,667.40"
Tuberculosis,Central sub-Saharan Africa,1990,55-59 years,Female,850,132.3,"25,499","3,968.90","2,458",382.5,"27,957","4,351.50"
Tuberculosis,Central sub-Saharan Africa,1990,55-59 years,Both,"2,666",222.8,"80,054","6,688.50","7,045",588.6,"87,099","7,277.10"
Tuberculosis,Central sub-Saharan Africa,1990,60-64 years,Male,"1,828",430.6,"46,661","10,988.10","2,044",481.4,"48,706","11,469.60"
Tuberculosis,Central sub-Saharan Africa,1990,60-64 years,Female,940,183.6,"23,945","4,676.70","1,211",236.5,"25,156","4,913.20"
Tuberculosis,Central sub-Saharan Africa,1990,60-64 years,Both,"2,768",295.6,"70,606","7,538.10","3,255",347.5,"73,862","7,885.60"
Tuberculosis,Central sub-Saharan Africa,1990,65-69 years,Male,"1,483",489,"31,321","10,324.50","2,003",660.3,"33,324","10,984.80"
Tuberculosis,Central sub-Saharan Africa,1990,65-69 years,Female,875,228.8,"18,416","4,817.30","1,193",311.9,"19,609","5,129.20"
Tuberculosis,Central sub-Saharan Africa,1990,65-69 years,Both,"2,358",344,"49,737","7,253.90","3,195",466.1,"52,932","7,720.00"
Tuberculosis,Central sub-Saharan Africa,1990,70-74 years,Male,"1,059",541,"17,891","9,140.40",636,324.9,"18,527","9,465.30"
Tuberculosis,Central sub-Saharan Africa,1990,70-74 years,Female,694,267.6,"11,698","4,510.10",408,157.4,"12,106","4,667.50"
Tuberculosis,Central sub-Saharan Africa,1990,70-74 years,Both,"1,753",385.2,"29,588","6,501.50","1,044",229.4,"30,633","6,731.00"
Tuberculosis,Central sub-Saharan Africa,1990,75-79 years,Male,597,561,"7,740","7,275.40",621,583.7,"8,361","7,859.10"
Tuberculosis,Central sub-Saharan Africa,1990,75-79 years,Female,442,291.3,"5,713","3,767.20",398,262.7,"6,111","4,029.90"
Tuberculosis,Central sub-Saharan Africa,1990,75-79 years,Both,"1,039",402.5,"13,453","5,213.60","1,019",395.1,"14,473","5,608.70"
Tuberculosis,Central sub-Saharan Africa,1990,80+ years,Male,276,459.8,"2,149","3,583.40",120,200.8,"2,269","3,784.20"
Tuberculosis,Central sub-Saharan Africa,1990,80+ years,Female,231,233.1,"1,724","1,737.10",81,81.6,"1,805","1,818.70"
Tuberculosis,Central sub-Saharan Africa,1990,80+ years,Both,507,318.5,"3,873","2,432.50",201,126.5,"4,074","2,559.10"
Tuberculosis,Central sub-Saharan Africa,1990,All ages,Male,"19,367",73.1,"830,490","3,133.90","67,936",256.4,"898,426","3,390.20"
Tuberculosis,Central sub-Saharan Africa,1990,All ages,Female,"12,299",45.3,"566,943","2,089.20","32,000",117.9,"598,943","2,207.10"
Tuberculosis,Central sub-Saharan Africa,1990,All ages,Both,"31,666",59,"1,397,433","2,605.30","99,936",186.3,"1,497,368","2,791.70"
Tuberculosis,Central sub-Saharan Africa,2005,0-6 days,Male,0,0,0,0,2,5,2,5
Tuberculosis,Central sub-Saharan Africa,2005,0-6 days,Female,0,0,0,0,1,2.3,1,2.3
Tuberculosis,Central sub-Saharan Africa,2005,0-6 days,Both,0,0,0,0,3,3.7,3,3.7
Tuberculosis,Central sub-Saharan Africa,2005,7-27 days,Male,0,0,0,0,5,4.9,5,4.9
Tuberculosis,Central sub-Saharan Africa,2005,7-27 days,Female,0,0,0,0,2,2.3,2,2.3
Tuberculosis,Central sub-Saharan Africa,2005,7-27 days,Both,0,0,0,0,8,3.6,8,3.6
Tuberculosis,Central sub-Saharan Africa,2005,28-364 days,Male,511,30.9,"43,765","2,646.80",78,4.7,"43,843","2,651.60"
Tuberculosis,Central sub-Saharan Africa,2005,28-364 days,Female,451,27.9,"38,690","2,392.40",35,2.2,"38,725","2,394.60"
Tuberculosis,Central sub-Saharan Africa,2005,28-364 days,Both,962,29.4,"82,455","2,521.00",114,3.5,"82,568","2,524.50"
Tuberculosis,Central sub-Saharan Africa,2005,1-4 years,Male,"1,519",23.8,"127,439","1,997.90","1,253",19.6,"128,692","2,017.60"
Tuberculosis,Central sub-Saharan Africa,2005,1-4 years,Female,"1,039",16.5,"87,171","1,387.40",566,9,"87,738","1,396.40"
Tuberculosis,Central sub-Saharan Africa,2005,1-4 years,Both,"2,558",20.2,"214,610","1,694.90","1,820",14.4,"216,430","1,709.30"
Tuberculosis,Central sub-Saharan Africa,2005,5-9 years,Male,245,3.8,"19,298",302.7,"3,181",49.9,"22,479",352.6
Tuberculosis,Central sub-Saharan Africa,2005,5-9 years,Female,185,2.9,"14,573",229.7,"1,491",23.5,"16,064",253.2
Tuberculosis,Central sub-Saharan Africa,2005,5-9 years,Both,430,3.4,"33,871",266.3,"4,672",36.7,"38,543",303
Tuberculosis,Central sub-Saharan Africa,2005,10-14 years,Male,161,3,"11,838",221.1,"4,398",82.1,"16,236",303.2
Tuberculosis,Central sub-Saharan Africa,2005,10-14 years,Female,201,3.8,"14,816",277.7,"2,183",40.9,"16,998",318.7
Tuberculosis,Central sub-Saharan Africa,2005,10-14 years,Both,361,3.4,"26,654",249.4,"6,581",61.6,"33,235",310.9
Tuberculosis,Central sub-Saharan Africa,2005,15-19 years,Male,463,10.3,"31,785",706.4,"5,364",119.2,"37,149",825.7
Tuberculosis,Central sub-Saharan Africa,2005,15-19 years,Female,644,14.3,"44,260",985.4,"2,841",63.2,"47,100","1,048.60"
Tuberculosis,Central sub-Saharan Africa,2005,15-19 years,Both,"1,107",12.3,"76,044",845.8,"8,205",91.3,"84,249",937
Tuberculosis,Central sub-Saharan Africa,2005,20-24 years,Male,"1,132",30.9,"72,259","1,969.00","5,974",162.8,"78,233","2,131.80"
Tuberculosis,Central sub-Saharan Africa,2005,20-24 years,Female,"1,466",39.9,"93,557","2,544.10","3,227",87.8,"96,785","2,631.80"
Tuberculosis,Central sub-Saharan Africa,2005,20-24 years,Both,"2,598",35.4,"165,817","2,256.80","9,201",125.2,"175,017","2,382.00"
Tuberculosis,Central sub-Saharan Africa,2005,25-29 years,Male,"1,748",58.8,"103,011","3,464.50","13,137",441.8,"116,148","3,906.30"
Tuberculosis,Central sub-Saharan Africa,2005,25-29 years,Female,"1,650",55.1,"97,203","3,248.30","6,656",222.4,"103,859","3,470.70"
Tuberculosis,Central sub-Saharan Africa,2005,25-29 years,Both,"3,398",57,"200,213","3,356.10","19,793",331.8,"220,006","3,687.80"
Tuberculosis,Central sub-Saharan Africa,2005,30-34 years,Male,"2,061",85.4,"111,165","4,607.70","14,720",610.1,"125,885","5,217.80"
Tuberculosis,Central sub-Saharan Africa,2005,30-34 years,Female,"1,498",61.7,"80,794","3,324.40","6,574",270.5,"87,368","3,594.90"
Tuberculosis,Central sub-Saharan Africa,2005,30-34 years,Both,"3,559",73.5,"191,959","3,963.70","21,294",439.7,"213,252","4,403.40"
Tuberculosis,Central sub-Saharan Africa,2005,35-39 years,Male,"2,224",113.2,"109,072","5,552.20","14,569",741.6,"123,641","6,293.80"
Tuberculosis,Central sub-Saharan Africa,2005,35-39 years,Female,"1,578",79.5,"77,402","3,901.60","6,528",329.1,"83,930","4,230.70"
Tuberculosis,Central sub-Saharan Africa,2005,35-39 years,Both,"3,802",96.3,"186,474","4,722.80","21,097",534.3,"207,571","5,257.20"
Tuberculosis,Central sub-Saharan Africa,2005,40-44 years,Male,"2,221",139,"98,094","6,140.20","12,592",788.2,"110,685","6,928.40"
Tuberculosis,Central sub-Saharan Africa,2005,40-44 years,Female,"1,115",68.6,"49,327","3,032.20","5,692",349.9,"55,019","3,382.10"
Tuberculosis,Central sub-Saharan Africa,2005,40-44 years,Both,"3,336",103.5,"147,420","4,572.10","18,284",567.1,"165,704","5,139.20"
Tuberculosis,Central sub-Saharan Africa,2005,45-49 years,Male,"2,345",183.1,"92,323","7,209.70","12,445",971.8,"104,767","8,181.60"
Tuberculosis,Central sub-Saharan Africa,2005,45-49 years,Female,"1,082",81,"42,613","3,190.70","5,651",423.2,"48,264","3,613.80"
Tuberculosis,Central sub-Saharan Africa,2005,45-49 years,Both,"3,427",131,"134,936","5,157.90","18,096",691.7,"153,032","5,849.70"
Tuberculosis,Central sub-Saharan Africa,2005,50-54 years,Male,"2,480",242.6,"86,015","8,412.50","7,448",728.5,"93,463","9,141.00"
Tuberculosis,Central sub-Saharan Africa,2005,50-54 years,Female,"1,189",108.1,"41,226","3,747.80","4,035",366.9,"45,261","4,114.60"
Tuberculosis,Central sub-Saharan Africa,2005,50-54 years,Both,"3,670",172.9,"127,241","5,995.00","11,484",541.1,"138,724","6,536.00"
Tuberculosis,Central sub-Saharan Africa,2005,55-59 years,Male,"2,429",302.6,"72,986","9,093.00","7,350",915.7,"80,336","10,008.70"
Tuberculosis,Central sub-Saharan Africa,2005,55-59 years,Female,"1,223",136,"36,704","4,081.20","4,005",445.3,"40,709","4,526.50"
Tuberculosis,Central sub-Saharan Africa,2005,55-59 years,Both,"3,652",214.6,"109,690","6,444.70","11,355",667.2,"121,045","7,111.90"
Tuberculosis,Central sub-Saharan Africa,2005,60-64 years,Male,"2,426",388.1,"61,934","9,907.10","3,293",526.8,"65,228","10,433.90"
Tuberculosis,Central sub-Saharan Africa,2005,60-64 years,Female,"1,371",188.9,"34,949","4,812.30","1,995",274.7,"36,944","5,087.10"
Tuberculosis,Central sub-Saharan Africa,2005,60-64 years,Both,"3,798",281,"96,883","7,169.20","5,288",391.3,"102,171","7,560.50"
Tuberculosis,Central sub-Saharan Africa,2005,65-69 years,Male,"2,178",482.2,"46,003","10,184.30","3,227",714.5,"49,230","10,898.80"
Tuberculosis,Central sub-Saharan Africa,2005,65-69 years,Female,"1,363",249.7,"28,721","5,259.60","1,965",359.9,"30,686","5,619.50"
Tuberculosis,Central sub-Saharan Africa,2005,65-69 years,Both,"3,542",354.9,"74,723","7,489.10","5,193",520.4,"79,916","8,009.50"
Tuberculosis,Central sub-Saharan Africa,2005,70-74 years,Male,"1,542",522.4,"26,066","8,831.00","1,031",349.3,"27,097","9,180.40"
Tuberculosis,Central sub-Saharan Africa,2005,70-74 years,Female,"1,042",277.9,"17,567","4,686.70",677,180.7,"18,245","4,867.40"
Tuberculosis,Central sub-Saharan Africa,2005,70-74 years,Both,"2,584",385.6,"43,633","6,512.50","1,709",255,"45,341","6,767.50"
Tuberculosis,Central sub-Saharan Africa,2005,75-79 years,Male,892,544.7,"11,577","7,069.90","1,012",617.9,"12,588","7,687.70"
Tuberculosis,Central sub-Saharan Africa,2005,75-79 years,Female,694,312.2,"8,985","4,042.50",662,298,"9,647","4,340.50"
Tuberculosis,Central sub-Saharan Africa,2005,75-79 years,Both,"1,586",410.8,"20,561","5,326.70","1,674",433.7,"22,235","5,760.40"
Tuberculosis,Central sub-Saharan Africa,2005,80+ years,Male,422,436.8,"3,262","3,379.00",206,213.7,"3,468","3,592.70"
Tuberculosis,Central sub-Saharan Africa,2005,80+ years,Female,359,237.1,"2,663","1,760.80",144,95.3,"2,807","1,856.10"
Tuberculosis,Central sub-Saharan Africa,2005,80+ years,Both,780,314.9,"5,925","2,391.30",350,141.4,"6,275","2,532.70"
Tuberculosis,Central sub-Saharan Africa,2005,All ages,Male,"26,998",64.7,"1,127,889","2,700.80","111,285",266.5,"1,239,175","2,967.30"
Tuberculosis,Central sub-Saharan Africa,2005,All ages,Female,"18,151",42.9,"811,218","1,918.90","54,934",129.9,"866,152","2,048.80"
Tuberculosis,Central sub-Saharan Africa,2005,All ages,Both,"45,150",53.7,"1,939,107","2,307.50","166,219",197.8,"2,105,327","2,505.30"
Tuberculosis,Central sub-Saharan Africa,2010,0-6 days,Male,0,0,0,0,2,4.5,2,4.5
Tuberculosis,Central sub-Saharan Africa,2010,0-6 days,Female,0,0,0,0,1,2.2,1,2.2
Tuberculosis,Central sub-Saharan Africa,2010,0-6 days,Both,0,0,0,0,3,3.3,3,3.3
Tuberculosis,Central sub-Saharan Africa,2010,7-27 days,Male,0,0,0,0,5,4.6,5,4.6
Tuberculosis,Central sub-Saharan Africa,2010,7-27 days,Female,0,0,0,0,2,2,2,2
Tuberculosis,Central sub-Saharan Africa,2010,7-27 days,Both,0,0,0,0,7,3.3,7,3.3
Tuberculosis,Central sub-Saharan Africa,2010,28-364 days,Male,568,32.1,"48,652","2,753.40",77,4.3,"48,728","2,757.70"
Tuberculosis,Central sub-Saharan Africa,2010,28-364 days,Female,553,32,"47,439","2,745.40",35,2,"47,474","2,747.40"
Tuberculosis,Central sub-Saharan Africa,2010,28-364 days,Both,"1,121",32.1,"96,091","2,749.40",111,3.2,"96,202","2,752.60"
Tuberculosis,Central sub-Saharan Africa,2010,1-4 years,Male,"1,625",23.4,"136,340","1,959.80","1,335",19.2,"137,675","1,979.00"
Tuberculosis,Central sub-Saharan Africa,2010,1-4 years,Female,"1,130",16.5,"94,841","1,385.80",583,8.5,"95,424","1,394.30"
Tuberculosis,Central sub-Saharan Africa,2010,1-4 years,Both,"2,755",20,"231,181","1,675.20","1,917",13.9,"233,099","1,689.10"
Tuberculosis,Central sub-Saharan Africa,2010,5-9 years,Male,268,3.7,"21,149",290.7,"3,450",47.4,"24,600",338.1
Tuberculosis,Central sub-Saharan Africa,2010,5-9 years,Female,203,2.8,"16,022",221.5,"1,616",22.3,"17,638",243.8
Tuberculosis,Central sub-Saharan Africa,2010,5-9 years,Both,472,3.3,"37,171",256.2,"5,066",34.9,"42,238",291.1
Tuberculosis,Central sub-Saharan Africa,2010,10-14 years,Male,167,2.7,"12,338",199.5,"4,981",80.5,"17,319",280.1
Tuberculosis,Central sub-Saharan Africa,2010,10-14 years,Female,203,3.3,"14,952",242.8,"2,436",39.6,"17,388",282.4
Tuberculosis,Central sub-Saharan Africa,2010,10-14 years,Both,370,3,"27,290",221.1,"7,417",60.1,"34,707",281.2
Tuberculosis,Central sub-Saharan Africa,2010,15-19 years,Male,522,9.9,"35,816",682.4,"6,102",116.3,"41,919",798.6
Tuberculosis,Central sub-Saharan Africa,2010,15-19 years,Female,682,13,"46,843",894.9,"3,161",60.4,"50,004",955.3
Tuberculosis,Central sub-Saharan Africa,2010,15-19 years,Both,"1,204",11.5,"82,659",788.5,"9,264",88.4,"91,923",876.9
Tuberculosis,Central sub-Saharan Africa,2010,20-24 years,Male,"1,295",29.6,"82,641","1,887.00","6,944",158.6,"89,585","2,045.60"
Tuberculosis,Central sub-Saharan Africa,2010,20-24 years,Female,"1,588",36.1,"101,321","2,306.30","3,666",83.5,"104,987","2,389.80"
Tuberculosis,Central sub-Saharan Africa,2010,20-24 years,Both,"2,883",32.9,"183,962","2,097.00","10,610",120.9,"194,572","2,218.00"
Tuberculosis,Central sub-Saharan Africa,2010,25-29 years,Male,"1,962",55.3,"115,580","3,257.80","15,189",428.1,"130,770","3,685.90"
Tuberculosis,Central sub-Saharan Africa,2010,25-29 years,Female,"1,726",48.3,"101,661","2,847.00","7,542",211.2,"109,203","3,058.20"
Tuberculosis,Central sub-Saharan Africa,2010,25-29 years,Both,"3,687",51.8,"217,241","3,051.70","22,731",319.3,"239,973","3,371.10"
Tuberculosis,Central sub-Saharan Africa,2010,30-34 years,Male,"2,271",79.4,"122,499","4,286.00","16,805",588,"139,304","4,874.00"
Tuberculosis,Central sub-Saharan Africa,2010,30-34 years,Female,"1,567",54.4,"84,472","2,935.60","7,332",254.8,"91,804","3,190.40"
Tuberculosis,Central sub-Saharan Africa,2010,30-34 years,Both,"3,837",66.9,"206,971","3,608.50","24,137",420.8,"231,108","4,029.40"
Tuberculosis,Central sub-Saharan Africa,2010,35-39 years,Male,"2,383",103.5,"116,865","5,076.00","16,649",723.1,"133,514","5,799.10"
Tuberculosis,Central sub-Saharan Africa,2010,35-39 years,Female,"1,570",67.8,"77,014","3,325.20","7,274",314,"84,288","3,639.20"
Tuberculosis,Central sub-Saharan Africa,2010,35-39 years,Both,"3,953",85.6,"193,879","4,198.00","23,922",518,"217,802","4,715.90"
Tuberculosis,Central sub-Saharan Africa,2010,40-44 years,Male,"2,392",128.7,"105,649","5,686.50","14,265",767.8,"119,914","6,454.30"
Tuberculosis,Central sub-Saharan Africa,2010,40-44 years,Female,"1,114",59.2,"49,276","2,618.80","6,243",331.8,"55,519","2,950.60"
Tuberculosis,Central sub-Saharan Africa,2010,40-44 years,Both,"3,506",93.8,"154,925","4,142.90","20,508",548.4,"175,433","4,691.40"
Tuberculosis,Central sub-Saharan Africa,2010,45-49 years,Male,"2,504",167.4,"98,585","6,589.10","14,123",943.9,"112,708","7,533.00"
Tuberculosis,Central sub-Saharan Africa,2010,45-49 years,Female,"1,080",70.1,"42,546","2,762.40","6,212",403.3,"48,758","3,165.80"
Tuberculosis,Central sub-Saharan Africa,2010,45-49 years,Both,"3,584",118,"141,131","4,648.00","20,335",669.7,"161,466","5,317.80"
Tuberculosis,Central sub-Saharan Africa,2010,50-54 years,Male,"2,640",222.8,"91,547","7,727.30","8,238",695.4,"99,786","8,422.70"
Tuberculosis,Central sub-Saharan Africa,2010,50-54 years,Female,"1,195",94.9,"41,418","3,290.60","4,361",346.5,"45,779","3,637.10"
Tuberculosis,Central sub-Saharan Africa,2010,50-54 years,Both,"3,835",156.9,"132,965","5,441.80","12,599",515.7,"145,565","5,957.50"
Tuberculosis,Central sub-Saharan Africa,2010,55-59 years,Male,"2,574",277.3,"77,355","8,332.40","8,134",876.1,"85,488","9,208.50"
Tuberculosis,Central sub-Saharan Africa,2010,55-59 years,Female,"1,227",120,"36,819","3,602.00","4,331",423.7,"41,150","4,025.70"
Tuberculosis,Central sub-Saharan Africa,2010,55-59 years,Both,"3,801",194.9,"114,174","5,853.40","12,465",639,"126,639","6,492.50"
Tuberculosis,Central sub-Saharan Africa,2010,60-64 years,Male,"2,495",353.8,"63,699","9,032.30","3,642",516.4,"67,340","9,548.70"
Tuberculosis,Central sub-Saharan Africa,2010,60-64 years,Female,"1,382",170.3,"35,204","4,339.80","2,169",267.4,"37,373","4,607.20"
