cause_medium,region_name,year,age_name,sex_name,death_abs,death_rate,YLL_abs,YLL_rate,YLD_abs,YLD_rate,DALY_abs,DALY_rate
Tuberculosis,East Asia,1990,0-6 days,Male,0,0,0,0,3,1.3,3,1.3
Tuberculosis,East Asia,1990,0-6 days,Female,0,0,0,0,1,0.5,1,0.5
Tuberculosis,East Asia,1990,0-6 days,Both,0,0,0,0,4,0.9,4,0.9
Tuberculosis,East Asia,1990,7-27 days,Male,0,0,0,0,9,1.2,9,1.2
Tuberculosis,East Asia,1990,7-27 days,Female,0,0,0,0,4,0.6,4,0.6
Tuberculosis,East Asia,1990,7-27 days,Both,0,0,0,0,13,0.9,13,0.9
Tuberculosis,East Asia,1990,28-364 days,Male,488,4,"42,066",349.2,149,1.2,"42,214",350.4
Tuberculosis,East Asia,1990,28-364 days,Female,300,2.8,"25,920",239.1,57,0.5,"25,978",239.6
Tuberculosis,East Asia,1990,28-364 days,Both,788,3.4,"67,986",297,206,0.9,"68,192",297.9
Tuberculosis,East Asia,1990,1-4 years,Male,993,1.9,"83,721",162.9,"2,510",4.9,"86,231",167.7
Tuberculosis,East Asia,1990,1-4 years,Female,754,1.6,"63,596",134.8,973,2.1,"64,568",136.9
Tuberculosis,East Asia,1990,1-4 years,Both,"1,748",1.8,"147,317",149.5,"3,483",3.5,"150,800",153
Tuberculosis,East Asia,1990,5-9 years,Male,286,0.5,"22,611",40.7,"6,983",12.6,"29,594",53.2
Tuberculosis,East Asia,1990,5-9 years,Female,313,0.6,"24,787",47.6,"2,766",5.3,"27,553",53
Tuberculosis,East Asia,1990,5-9 years,Both,599,0.6,"47,398",44,"9,749",9.1,"57,147",53.1
Tuberculosis,East Asia,1990,10-14 years,Male,317,0.6,"23,424",46,"11,273",22.1,"34,696",68.1
Tuberculosis,East Asia,1990,10-14 years,Female,393,0.8,"29,063",60.6,"4,595",9.6,"33,658",70.2
Tuberculosis,East Asia,1990,10-14 years,Both,710,0.7,"52,486",53.1,"15,868",16,"68,354",69.1
Tuberculosis,East Asia,1990,15-19 years,Male,"1,544",2.4,"106,326",162,"20,452",31.2,"126,778",193.1
Tuberculosis,East Asia,1990,15-19 years,Female,"1,134",1.8,"78,233",125.6,"8,300",13.3,"86,533",139
Tuberculosis,East Asia,1990,15-19 years,Both,"2,678",2.1,"184,559",144.3,"28,752",22.5,"213,311",166.8
Tuberculosis,East Asia,1990,20-24 years,Male,"3,180",4.7,"203,621",299.5,"28,597",42.1,"232,218",341.5
Tuberculosis,East Asia,1990,20-24 years,Female,"1,869",2.9,"119,689",188.8,"11,520",18.2,"131,210",207
Tuberculosis,East Asia,1990,20-24 years,Both,"5,048",3.8,"323,310",246.1,"40,117",30.5,"363,428",276.6
Tuberculosis,East Asia,1990,25-29 years,Male,"3,123",5.9,"184,299",346.2,"66,644",125.2,"250,943",471.4
Tuberculosis,East Asia,1990,25-29 years,Female,"2,116",4.3,"124,974",251.1,"26,778",53.8,"151,752",305
Tuberculosis,East Asia,1990,25-29 years,Both,"5,239",5.1,"309,273",300.3,"93,422",90.7,"402,696",391
