cause_medium,region_name,year,age_name,sex_name,death_abs,death_rate,YLL_abs,YLL_rate,YLD_abs,YLD_rate,DALY_abs,DALY_rate
Tuberculosis, Global,1990,0-6 days,Male,0,0,0,0,34,2.6,34,2.6
Tuberculosis, Global,1990,0-6 days,Female,0,0,0,0,16,1.3,16,1.3
Tuberculosis, Global,1990,0-6 days,Both,0,0,0,0,51,2,51,2
Tuberculosis, Global,1990,7-27 days,Male,0,0,0,0,100,2.5,100,2.5
Tuberculosis, Global,1990,7-27 days,Female,0,0,0,0,50,1.3,50,1.3
Tuberculosis, Global,1990,7-27 days,Both,0,0,0,0,150,2,150,2
Tuberculosis, Global,1990,28-364 days,Male,"14,576",23.4,"1,251,504","2,012.80","1,539",2.5,"1,253,043","2,015.30"
Tuberculosis, Global,1990,28-364 days,Female,"15,481",26.4,"1,328,881","2,263.70",746,1.3,"1,329,628","2,265.00"
Tuberculosis, Global,1990,28-364 days,Both,"30,057",24.9,"2,580,386","2,134.60","2,285",1.9,"2,582,671","2,136.50"
Tuberculosis, Global,1990,1-4 years,Male,"29,035",11.3,"2,439,165",946.7,"23,533",9.1,"2,462,698",955.9
Tuberculosis, Global,1990,1-4 years,Female,"26,898",11,"2,258,938",926.2,"11,385",4.7,"2,270,323",930.8
Tuberculosis, Global,1990,1-4 years,Both,"55,933",11.2,"4,698,103",936.7,"34,917",7,"4,733,021",943.7
Tuberculosis, Global,1990,5-9 years,Male,"8,799",3,"693,810",234.9,"66,135",22.4,"759,945",257.3
Tuberculosis, Global,1990,5-9 years,Female,"9,194",3.3,"724,996",257.7,"33,013",11.7,"758,009",269.4
Tuberculosis, Global,1990,5-9 years,Both,"17,992",3.1,"1,418,807",246,"99,148",17.2,"1,517,954",263.2
Tuberculosis, Global,1990,10-14 years,Male,"5,422",2,"399,738",148.4,"103,767",38.5,"503,505",187
Tuberculosis, Global,1990,10-14 years,Female,"7,235",2.8,"533,489",207.2,"53,267",20.7,"586,756",227.9
Tuberculosis, Global,1990,10-14 years,Both,"12,657",2.4,"933,227",177.2,"157,034",29.8,"1,090,261",207
Tuberculosis, Global,1990,15-19 years,Male,"13,790",5.2,"947,238",357.3,"146,292",55.2,"1,093,529",412.5
Tuberculosis, Global,1990,15-19 years,Female,"13,767",5.4,"946,361",372.5,"76,412",30.1,"1,022,773",402.6
Tuberculosis, Global,1990,15-19 years,Both,"27,557",5.3,"1,893,599",364.7,"222,704",42.9,"2,116,303",407.6
Tuberculosis, Global,1990,20-24 years,Male,"27,780",11.1,"1,773,851",710.6,"183,732",73.6,"1,957,583",784.2
Tuberculosis, Global,1990,20-24 years,Female,"25,683",10.8,"1,640,681",687,"95,932",40.2,"1,736,613",727.2
