cause_medium,region_name,year,age_name,sex_name,death_abs,death_rate,YLL_abs,YLL_rate,YLD_abs,YLD_rate,DALY_abs,DALY_rate
Tuberculosis,High-income Asia Pacific,1990,0-6 days,Male,0,0,0,0,0,1.1,0,1.1
Tuberculosis,High-income Asia Pacific,1990,0-6 days,Female,0,0,0,0,0,0.5,0,0.5
Tuberculosis,High-income Asia Pacific,1990,0-6 days,Both,0,0,0,0,0,0.8,0,0.8
Tuberculosis,High-income Asia Pacific,1990,7-27 days,Male,0,0,0,0,1,1.1,1,1.1
Tuberculosis,High-income Asia Pacific,1990,7-27 days,Female,0,0,0,0,0,0.5,0,0.5
Tuberculosis,High-income Asia Pacific,1990,7-27 days,Both,0,0,0,0,1,0.8,1,0.8
Tuberculosis,High-income Asia Pacific,1990,28-364 days,Male,12,1.3,"1,055",109.6,10,1.1,"1,066",110.7
Tuberculosis,High-income Asia Pacific,1990,28-364 days,Female,11,1.2,938,105,4,0.5,942,105.5
Tuberculosis,High-income Asia Pacific,1990,28-364 days,Both,23,1.2,"1,993",107.4,15,0.8,"2,008",108.2
Tuberculosis,High-income Asia Pacific,1990,1-4 years,Male,9,0.2,711,16.4,158,3.7,870,20.1
Tuberculosis,High-income Asia Pacific,1990,1-4 years,Female,8,0.2,672,16.8,64,1.6,736,18.3
Tuberculosis,High-income Asia Pacific,1990,1-4 years,Both,17,0.2,"1,383",16.6,222,2.7,"1,605",19.3
Tuberculosis,High-income Asia Pacific,1990,5-9 years,Male,11,0.2,900,15.2,537,9.1,"1,437",24.3
Tuberculosis,High-income Asia Pacific,1990,5-9 years,Female,11,0.2,891,15.9,227,4.1,"1,118",20
Tuberculosis,High-income Asia Pacific,1990,5-9 years,Both,23,0.2,"1,791",15.6,764,6.6,"2,555",22.2
Tuberculosis,High-income Asia Pacific,1990,10-14 years,Male,14,0.2,"1,005",15.3,"1,075",16.4,"2,080",31.7
Tuberculosis,High-income Asia Pacific,1990,10-14 years,Female,15,0.2,"1,075",17.3,439,7.1,"1,513",24.4
Tuberculosis,High-income Asia Pacific,1990,10-14 years,Both,28,0.2,"2,080",16.3,"1,514",11.9,"3,594",28.1
Tuberculosis,High-income Asia Pacific,1990,15-19 years,Male,57,0.8,"3,907",52,"1,860",24.8,"5,767",76.8
Tuberculosis,High-income Asia Pacific,1990,15-19 years,Female,41,0.6,"2,850",39.9,761,10.7,"3,610",50.6
Tuberculosis,High-income Asia Pacific,1990,15-19 years,Both,98,0.7,"6,756",46.1,"2,621",17.9,"9,377",64
Tuberculosis,High-income Asia Pacific,1990,20-24 years,Male,51,0.7,"3,228",47.2,"2,500",36.6,"5,727",83.8
Tuberculosis,High-income Asia Pacific,1990,20-24 years,Female,62,1,"3,974",61,"1,017",15.6,"4,991",76.6
Tuberculosis,High-income Asia Pacific,1990,20-24 years,Both,113,0.8,"7,201",54,"3,517",26.4,"10,718",80.3
Tuberculosis,High-income Asia Pacific,1990,25-29 years,Male,102,1.6,"6,004",95,"6,850",108.4,"12,854",203.4
Tuberculosis,High-income Asia Pacific,1990,25-29 years,Female,82,1.3,"4,845",78.6,"2,755",44.7,"7,600",123.2
Tuberculosis,High-income Asia Pacific,1990,25-29 years,Both,184,1.5,"10,849",86.9,"9,605",76.9,"20,454",163.8
Tuberculosis,High-income Asia Pacific,1990,30-34 years,Male,194,3.2,"10,473",170.3,"11,579",188.3,"22,052",358.6
Tuberculosis,High-income Asia Pacific,1990,30-34 years,Female,107,1.8,"5,772",95.5,"4,581",75.8,"10,353",171.3
Tuberculosis,High-income Asia Pacific,1990,30-34 years,Both,301,2.5,"16,245",133.2,"16,161",132.5,"32,405",265.7
Tuberculosis,High-income Asia Pacific,1990,35-39 years,Male,263,4.2,"12,888",204.6,"11,492",182.4,"24,380",387
Tuberculosis,High-income Asia Pacific,1990,35-39 years,Female,99,1.6,"4,827",77.7,"4,575",73.7,"9,401",151.4
Tuberculosis,High-income Asia Pacific,1990,35-39 years,Both,362,2.9,"17,715",141.6,"16,066",128.4,"33,782",270.1
Tuberculosis,High-income Asia Pacific,1990,40-44 years,Male,333,5,"14,704",220.5,"12,620",189.2,"27,324",409.7
Tuberculosis,High-income Asia Pacific,1990,40-44 years,Female,95,1.4,"4,177",63.8,"5,043",77,"9,219",140.7
Tuberculosis,High-income Asia Pacific,1990,40-44 years,Both,428,3.2,"18,881",142.8,"17,663",133.6,"36,543",276.4
Tuberculosis,High-income Asia Pacific,1990,45-49 years,Male,434,7.7,"17,037",302.4,"12,501",221.9,"29,538",524.3
Tuberculosis,High-income Asia Pacific,1990,45-49 years,Female,104,1.8,"4,092",72.3,"5,010",88.5,"9,102",160.8
Tuberculosis,High-income Asia Pacific,1990,45-49 years,Both,538,4.8,"21,129",187.1,"17,511",155,"38,640",342.1
Tuberculosis,High-income Asia Pacific,1990,50-54 years,Male,597,11.8,"20,673",409.7,"9,498",188.3,"30,172",598
Tuberculosis,High-income Asia Pacific,1990,50-54 years,Female,135,2.6,"4,688",90.9,"4,083",79.1,"8,771",170
Tuberculosis,High-income Asia Pacific,1990,50-54 years,Both,732,7.2,"25,362",248.5,"13,581",133.1,"38,943",381.6
Tuberculosis,High-income Asia Pacific,1990,55-59 years,Male,672,14.7,"20,157",440.9,"9,339",204.3,"29,495",645.2
Tuberculosis,High-income Asia Pacific,1990,55-59 years,Female,160,3.3,"4,804",99.5,"4,055",84,"8,858",183.5
Tuberculosis,High-income Asia Pacific,1990,55-59 years,Both,832,8.9,"24,960",265.6,"13,393",142.5,"38,354",408.1
Tuberculosis,High-income Asia Pacific,1990,60-64 years,Male,767,20.5,"19,530",521.3,"4,348",116,"23,878",637.3
Tuberculosis,High-income Asia Pacific,1990,60-64 years,Female,228,5.4,"5,806",138.4,"2,534",60.4,"8,340",198.8
Tuberculosis,High-income Asia Pacific,1990,60-64 years,Both,995,12.5,"25,336",319,"6,882",86.7,"32,218",405.7
Tuberculosis,High-income Asia Pacific,1990,65-69 years,Male,932,36.3,"19,596",764.2,"4,288",167.2,"23,883",931.4
Tuberculosis,High-income Asia Pacific,1990,65-69 years,Female,304,8.8,"6,377",185.2,"2,507",72.8,"8,884",258
Tuberculosis,High-income Asia Pacific,1990,65-69 years,Both,"1,236",20.6,"25,973",432.3,"6,795",113.1,"32,768",545.4
Tuberculosis,High-income Asia Pacific,1990,70-74 years,Male,"1,014",56.5,"17,034",948.7,"1,753",97.6,"18,787","1,046.30"
Tuberculosis,High-income Asia Pacific,1990,70-74 years,Female,381,14.6,"6,374",244.4,"1,270",48.7,"7,644",293.1
Tuberculosis,High-income Asia Pacific,1990,70-74 years,Both,"1,395",31.7,"23,408",531.6,"3,023",68.7,"26,431",600.2
Tuberculosis,High-income Asia Pacific,1990,75-79 years,Male,"1,084",81.4,"13,947","1,047.90","1,742",130.9,"15,689","1,178.80"
Tuberculosis,High-income Asia Pacific,1990,75-79 years,Female,492,23.7,"6,290",303.5,"1,260",60.8,"7,550",364.3
Tuberculosis,High-income Asia Pacific,1990,75-79 years,Both,"1,575",46.3,"20,236",594.6,"3,002",88.2,"23,238",682.8
Tuberculosis,High-income Asia Pacific,1990,80+ years,Male,"1,365",123.8,"10,103",916,394,35.7,"10,498",951.7
Tuberculosis,High-income Asia Pacific,1990,80+ years,Female,894,42.8,"6,149",294.5,329,15.8,"6,479",310.3
Tuberculosis,High-income Asia Pacific,1990,80+ years,Both,"2,259",70.8,"16,253",509.4,723,22.7,"16,976",532.1
Tuberculosis,High-income Asia Pacific,1990,All ages,Male,"7,910",9.5,"192,953",231.3,"92,546",110.9,"285,498",342.2
Tuberculosis,High-income Asia Pacific,1990,All ages,Female,"3,230",3.8,"74,599",87.3,"40,513",47.4,"115,112",134.7
Tuberculosis,High-income Asia Pacific,1990,All ages,Both,"11,140",6.6,"267,552",158.4,"133,059",78.8,"400,611",237.2
Tuberculosis,High-income Asia Pacific,2005,0-6 days,Male,0,0,0,0,0,0.5,0,0.5
Tuberculosis,High-income Asia Pacific,2005,0-6 days,Female,0,0,0,0,0,0.2,0,0.2
Tuberculosis,High-income Asia Pacific,2005,0-6 days,Both,0,0,0,0,0,0.4,0,0.4
Tuberculosis,High-income Asia Pacific,2005,7-27 days,Male,0,0,0,0,0,0.5,0,0.5
Tuberculosis,High-income Asia Pacific,2005,7-27 days,Female,0,0,0,0,0,0.2,0,0.2
Tuberculosis,High-income Asia Pacific,2005,7-27 days,Both,0,0,0,0,0,0.4,0,0.4
Tuberculosis,High-income Asia Pacific,2005,28-364 days,Male,2,0.2,132,17.1,4,0.5,136,17.6
Tuberculosis,High-income Asia Pacific,2005,28-364 days,Female,1,0.1,89,12.3,2,0.2,91,12.6
Tuberculosis,High-income Asia Pacific,2005,28-364 days,Both,3,0.2,221,14.8,5,0.4,226,15.2
Tuberculosis,High-income Asia Pacific,2005,1-4 years,Male,1,0,113,3.3,67,1.9,180,5.2
Tuberculosis,High-income Asia Pacific,2005,1-4 years,Female,1,0,87,2.7,27,0.8,114,3.5
Tuberculosis,High-income Asia Pacific,2005,1-4 years,Both,2,0,200,3,94,1.4,295,4.4
Tuberculosis,High-income Asia Pacific,2005,5-9 years,Male,1,0,67,1.4,218,4.5,285,5.9
Tuberculosis,High-income Asia Pacific,2005,5-9 years,Female,1,0,45,1,88,2,133,2.9
Tuberculosis,High-income Asia Pacific,2005,5-9 years,Both,1,0,112,1.2,306,3.3,418,4.5
Tuberculosis,High-income Asia Pacific,2005,10-14 years,Male,1,0,82,1.6,386,7.7,468,9.3
Tuberculosis,High-income Asia Pacific,2005,10-14 years,Female,1,0,69,1.5,148,3.2,217,4.6
Tuberculosis,High-income Asia Pacific,2005,10-14 years,Both,2,0,151,1.6,534,5.5,685,7
Tuberculosis,High-income Asia Pacific,2005,15-19 years,Male,4,0.1,261,5.1,592,11.5,852,16.6
Tuberculosis,High-income Asia Pacific,2005,15-19 years,Female,3,0.1,230,4.8,227,4.7,458,9.5
Tuberculosis,High-income Asia Pacific,2005,15-19 years,Both,7,0.1,491,4.9,819,8.3,"1,310",13.2
Tuberculosis,High-income Asia Pacific,2005,20-24 years,Male,9,0.2,577,10,920,15.9,"1,497",25.9
Tuberculosis,High-income Asia Pacific,2005,20-24 years,Female,10,0.2,667,12.3,343,6.3,"1,010",18.6
Tuberculosis,High-income Asia Pacific,2005,20-24 years,Both,20,0.2,"1,244",11.1,"1,263",11.3,"2,507",22.4
Tuberculosis,High-income Asia Pacific,2005,25-29 years,Male,21,0.3,"1,222",19.8,"3,365",54.5,"4,587",74.2
Tuberculosis,High-income Asia Pacific,2005,25-29 years,Female,16,0.3,937,15.6,"1,309",21.8,"2,246",37.5
Tuberculosis,High-income Asia Pacific,2005,25-29 years,Both,37,0.3,"2,159",17.7,"4,674",38.4,"6,833",56.1
Tuberculosis,High-income Asia Pacific,2005,30-34 years,Male,42,0.6,"2,267",32.1,"6,424",90.8,"8,691",122.9
Tuberculosis,High-income Asia Pacific,2005,30-34 years,Female,22,0.3,"1,207",17.4,"2,524",36.4,"3,731",53.8
Tuberculosis,High-income Asia Pacific,2005,30-34 years,Both,64,0.5,"3,474",24.8,"8,948",63.9,"12,422",88.7
Tuberculosis,High-income Asia Pacific,2005,35-39 years,Male,72,1.1,"3,523",53.6,"6,367",96.8,"9,890",150.4
Tuberculosis,High-income Asia Pacific,2005,35-39 years,Female,25,0.4,"1,248",19.3,"2,485",38.4,"3,733",57.7
Tuberculosis,High-income Asia Pacific,2005,35-39 years,Both,98,0.7,"4,771",36.6,"8,852",67.8,"13,623",104.4
Tuberculosis,High-income Asia Pacific,2005,40-44 years,Male,142,2.3,"6,274",100.8,"7,633",122.6,"13,906",223.4
Tuberculosis,High-income Asia Pacific,2005,40-44 years,Female,31,0.5,"1,358",22.2,"3,013",49.2,"4,371",71.4
Tuberculosis,High-income Asia Pacific,2005,40-44 years,Both,173,1.4,"7,631",61.8,"10,646",86.2,"18,277",148.1
Tuberculosis,High-income Asia Pacific,2005,45-49 years,Male,201,3.4,"7,912",132.4,"7,552",126.4,"15,463",258.7
Tuberculosis,High-income Asia Pacific,2005,45-49 years,Female,33,0.6,"1,309",22.1,"3,007",50.7,"4,316",72.8
Tuberculosis,High-income Asia Pacific,2005,45-49 years,Both,235,2,"9,221",77.5,"10,559",88.7,"19,780",166.2
Tuberculosis,High-income Asia Pacific,2005,50-54 years,Male,223,3.7,"7,726",129.2,"5,776",96.6,"13,502",225.7
Tuberculosis,High-income Asia Pacific,2005,50-54 years,Female,37,0.6,"1,293",21.5,"2,347",39.1,"3,640",60.6
Tuberculosis,High-income Asia Pacific,2005,50-54 years,Both,261,2.2,"9,019",75.2,"8,123",67.8,"17,142",143
Tuberculosis,High-income Asia Pacific,2005,55-59 years,Male,283,4.6,"8,469",136.7,"5,729",92.5,"14,198",229.2
Tuberculosis,High-income Asia Pacific,2005,55-59 years,Female,53,0.8,"1,601",25.3,"2,318",36.6,"3,919",61.9
Tuberculosis,High-income Asia Pacific,2005,55-59 years,Both,336,2.7,"10,070",80.4,"8,047",64.3,"18,117",144.7
Tuberculosis,High-income Asia Pacific,2005,60-64 years,Male,364,7.2,"9,265",182.4,"3,604",70.9,"12,868",253.3
Tuberculosis,High-income Asia Pacific,2005,60-64 years,Female,78,1.4,"1,988",36.7,"1,735",32,"3,723",68.7
Tuberculosis,High-income Asia Pacific,2005,60-64 years,Both,442,4.2,"11,252",107.1,"5,339",50.8,"16,591",158
Tuberculosis,High-income Asia Pacific,2005,65-69 years,Male,510,11.8,"10,713",247.7,"3,543",81.9,"14,256",329.6
Tuberculosis,High-income Asia Pacific,2005,65-69 years,Female,145,3,"3,033",62.5,"1,715",35.4,"4,748",97.9
Tuberculosis,High-income Asia Pacific,2005,65-69 years,Both,654,7.1,"13,747",149.8,"5,258",57.3,"19,004",207.1
Tuberculosis,High-income Asia Pacific,2005,70-74 years,Male,710,19.9,"11,901",334.4,"1,845",51.8,"13,746",386.2
Tuberculosis,High-income Asia Pacific,2005,70-74 years,Female,278,6.4,"4,646",106.9,"1,205",27.7,"5,851",134.6
Tuberculosis,High-income Asia Pacific,2005,70-74 years,Both,988,12.5,"16,547",209.3,"3,050",38.6,"19,597",247.9
Tuberculosis,High-income Asia Pacific,2005,75-79 years,Male,979,38.8,"12,561",498.1,"1,817",72.1,"14,379",570.2
Tuberculosis,High-income Asia Pacific,2005,75-79 years,Female,496,14.1,"6,320",180.3,"1,177",33.6,"7,497",213.8
Tuberculosis,High-income Asia Pacific,2005,75-79 years,Both,"1,474",24.5,"18,882",313.2,"2,994",49.7,"21,876",362.9
Tuberculosis,High-income Asia Pacific,2005,80+ years,Male,"2,099",95.1,"14,112",639,472,21.4,"14,584",660.4
Tuberculosis,High-income Asia Pacific,2005,80+ years,Female,"1,807",38.2,"10,460",220.9,431,9.1,"10,891",230
Tuberculosis,High-income Asia Pacific,2005,80+ years,Both,"3,907",56.3,"24,573",353.9,903,13,"25,476",366.9
Tuberculosis,High-income Asia Pacific,2005,All ages,Male,"5,663",6.5,"97,177",111.8,"56,313",64.8,"153,490",176.6
Tuberculosis,High-income Asia Pacific,2005,All ages,Female,"3,040",3.4,"36,588",40.6,"24,101",26.8,"60,689",67.4
Tuberculosis,High-income Asia Pacific,2005,All ages,Both,"8,704",4.9,"133,765",75.6,"80,414",45.4,"214,179",121
Tuberculosis,High-income Asia Pacific,2010,0-6 days,Male,0,0,0,0,0,0.5,0,0.5
Tuberculosis,High-income Asia Pacific,2010,0-6 days,Female,0,0,0,0,0,0.2,0,0.2
Tuberculosis,High-income Asia Pacific,2010,0-6 days,Both,0,0,0,0,0,0.4,0,0.4
Tuberculosis,High-income Asia Pacific,2010,7-27 days,Male,0,0,0,0,0,0.5,0,0.5
Tuberculosis,High-income Asia Pacific,2010,7-27 days,Female,0,0,0,0,0,0.2,0,0.2
Tuberculosis,High-income Asia Pacific,2010,7-27 days,Both,0,0,0,0,0,0.4,0,0.4
Tuberculosis,High-income Asia Pacific,2010,28-364 days,Male,1,0.1,82,10.8,4,0.5,86,11.4
Tuberculosis,High-income Asia Pacific,2010,28-364 days,Female,1,0.1,52,7.3,2,0.2,53,7.5
Tuberculosis,High-income Asia Pacific,2010,28-364 days,Both,2,0.1,134,9.1,6,0.4,140,9.5
Tuberculosis,High-income Asia Pacific,2010,1-4 years,Male,1,0,70,2.1,69,2.1,139,4.2
Tuberculosis,High-income Asia Pacific,2010,1-4 years,Female,1,0,48,1.6,25,0.8,73,2.4
Tuberculosis,High-income Asia Pacific,2010,1-4 years,Both,1,0,118,1.8,94,1.5,212,3.3
Tuberculosis,High-income Asia Pacific,2010,5-9 years,Male,0,0,30,0.7,206,4.9,237,5.6
