cause_medium,region_name,year,age_name,sex_name,death_abs,death_rate,YLL_abs,YLL_rate,YLD_abs,YLD_rate,DALY_abs,DALY_rate
Tuberculosis,Oceania,1990,0-6 days,Male,0,0,0,0,0,8.7,0,8.7
Tuberculosis,Oceania,1990,0-6 days,Female,0,0,0,0,0,6.3,0,6.3
Tuberculosis,Oceania,1990,0-6 days,Both,0,0,0,0,0,7.5,0,7.5
Tuberculosis,Oceania,1990,7-27 days,Male,0,0,0,0,1,8.7,1,8.7
Tuberculosis,Oceania,1990,7-27 days,Female,0,0,0,0,0,6.6,0,6.6
Tuberculosis,Oceania,1990,7-27 days,Both,0,0,0,0,1,7.7,1,7.7
Tuberculosis,Oceania,1990,28-364 days,Male,15,14.5,"1,263","1,246.40",8,8.3,"1,271","1,254.70"
Tuberculosis,Oceania,1990,28-364 days,Female,16,16.6,"1,344","1,427.10",6,6.3,"1,350","1,433.40"
Tuberculosis,Oceania,1990,28-364 days,Both,30,15.5,"2,607","1,333.40",14,7.3,"2,621","1,340.80"
Tuberculosis,Oceania,1990,1-4 years,Male,33,8.2,"2,805",686.6,118,28.9,"2,923",715.5
Tuberculosis,Oceania,1990,1-4 years,Female,29,7.7,"2,461",648,83,21.8,"2,544",669.8
Tuberculosis,Oceania,1990,1-4 years,Both,63,8,"5,266",668,201,25.5,"5,467",693.5
Tuberculosis,Oceania,1990,5-9 years,Male,10,2.2,808,174.2,318,68.5,"1,125",242.7
Tuberculosis,Oceania,1990,5-9 years,Female,11,2.6,900,206.6,230,52.7,"1,130",259.2
Tuberculosis,Oceania,1990,5-9 years,Both,22,2.4,"1,708",189.9,547,60.8,"2,255",250.7
Tuberculosis,Oceania,1990,10-14 years,Male,9,2.1,660,155.6,508,119.9,"1,168",275.5
Tuberculosis,Oceania,1990,10-14 years,Female,14,3.6,"1,041",261.9,360,90.5,"1,400",352.3
Tuberculosis,Oceania,1990,10-14 years,Both,23,2.8,"1,701",207,868,105.6,"2,568",312.7
Tuberculosis,Oceania,1990,15-19 years,Male,24,6.3,"1,679",435.3,706,183.1,"2,386",618.4
Tuberculosis,Oceania,1990,15-19 years,Female,34,9.4,"2,341",647.9,497,137.6,"2,838",785.5
Tuberculosis,Oceania,1990,15-19 years,Both,59,7.8,"4,020",538.1,"1,203",161.1,"5,223",699.2
Tuberculosis,Oceania,1990,20-24 years,Male,48,15.6,"3,033",993.2,806,263.9,"3,839","1,257.10"
Tuberculosis,Oceania,1990,20-24 years,Female,57,19.8,"3,644","1,265.40",565,196.1,"4,209","1,461.50"
Tuberculosis,Oceania,1990,20-24 years,Both,105,17.6,"6,677","1,125.30","1,371",231,"8,048","1,356.30"
Tuberculosis,Oceania,1990,25-29 years,Male,64,24.9,"3,759","1,466.80","1,868",729,"5,627","2,195.80"
Tuberculosis,Oceania,1990,25-29 years,Female,68,27.6,"3,992","1,622.30","1,333",541.6,"5,325","2,163.90"
Tuberculosis,Oceania,1990,25-29 years,Both,132,26.2,"7,751","1,543.00","3,201",637.2,"10,952","2,180.10"
Tuberculosis,Oceania,1990,30-34 years,Male,93,43.4,"5,033","2,337.30","2,150",998.3,"7,182","3,335.60"
Tuberculosis,Oceania,1990,30-34 years,Female,84,40.3,"4,541","2,172.30","1,523",728.4,"6,064","2,900.70"
Tuberculosis,Oceania,1990,30-34 years,Both,178,41.9,"9,574","2,256.00","3,672",865.3,"13,247","3,121.30"
Tuberculosis,Oceania,1990,35-39 years,Male,105,58.6,"5,145","2,870.80","2,130","1,188.20","7,275","4,059.00"
Tuberculosis,Oceania,1990,35-39 years,Female,100,57.2,"4,902","2,804.20","1,509",863.4,"6,411","3,667.50"
Tuberculosis,Oceania,1990,35-39 years,Both,205,57.9,"10,047","2,837.90","3,639","1,027.80","13,686","3,865.60"
Tuberculosis,Oceania,1990,40-44 years,Male,149,103.1,"6,564","4,550.40","1,742","1,207.30","8,305","5,757.70"
Tuberculosis,Oceania,1990,40-44 years,Female,122,88,"5,384","3,887.40","1,187",856.9,"6,571","4,744.30"
Tuberculosis,Oceania,1990,40-44 years,Both,271,95.7,"11,948","4,225.70","2,928","1,035.70","14,876","5,261.30"
Tuberculosis,Oceania,1990,45-49 years,Male,155,130,"6,115","5,115.20","1,714","1,433.50","7,828","6,548.70"
Tuberculosis,Oceania,1990,45-49 years,Female,101,90.1,"3,974","3,542.60","1,173","1,045.20","5,147","4,587.80"
Tuberculosis,Oceania,1990,45-49 years,Both,256,110.7,"10,089","4,353.90","2,886","1,245.50","12,975","5,599.40"
Tuberculosis,Oceania,1990,50-54 years,Male,167,173,"5,775","5,995.30",885,919.1,"6,660","6,914.50"
Tuberculosis,Oceania,1990,50-54 years,Female,102,113.8,"3,546","3,940.50",621,689.7,"4,167","4,630.20"
Tuberculosis,Oceania,1990,50-54 years,Both,269,144.4,"9,321","5,002.80","1,506",808.3,"10,827","5,811.10"
Tuberculosis,Oceania,1990,55-59 years,Male,151,202.2,"4,534","6,075.20",874,"1,170.80","5,408","7,245.90"
Tuberculosis,Oceania,1990,55-59 years,Female,118,165.7,"3,540","4,972.80",614,862.9,"4,154","5,835.70"
Tuberculosis,Oceania,1990,55-59 years,Both,269,184.4,"8,074","5,537.00","1,488","1,020.50","9,562","6,557.50"
Tuberculosis,Oceania,1990,60-64 years,Male,123,225.8,"3,140","5,763.50",309,566.7,"3,449","6,330.20"
Tuberculosis,Oceania,1990,60-64 years,Female,101,187.8,"2,575","4,785.40",245,454.7,"2,819","5,240.10"
Tuberculosis,Oceania,1990,60-64 years,Both,224,206.9,"5,715","5,277.50",553,511,"6,268","5,788.50"
Tuberculosis,Oceania,1990,65-69 years,Male,154,422,"3,244","8,909.60",302,828,"3,546","9,737.60"
Tuberculosis,Oceania,1990,65-69 years,Female,127,324.2,"2,676","6,829.30",241,614.3,"2,916","7,443.60"
Tuberculosis,Oceania,1990,65-69 years,Both,281,371.3,"5,920","7,830.90",542,717.2,"6,462","8,548.10"
Tuberculosis,Oceania,1990,70-74 years,Male,77,359.2,"1,304","6,070.80",75,348.2,"1,379","6,419.00"
Tuberculosis,Oceania,1990,70-74 years,Female,83,323.8,"1,408","5,462.10",69,265.8,"1,476","5,728.00"
Tuberculosis,Oceania,1990,70-74 years,Both,161,339.8,"2,711","5,738.10",143,303.2,"2,855","6,041.30"
Tuberculosis,Oceania,1990,75-79 years,Male,53,480.4,691,"6,236.70",73,659.8,764,"6,896.50"
Tuberculosis,Oceania,1990,75-79 years,Female,61,413.5,797,"5,355.60",67,452.9,864,"5,808.50"
