cause_medium,region_name,year,age_name,sex_name,death_abs,death_rate,YLL_abs,YLL_rate,YLD_abs,YLD_rate,DALY_abs,DALY_rate
Tuberculosis,South Asia,1990,0-6 days,Male,0,0,0,0,13,3.6,13,3.6
Tuberculosis,South Asia,1990,0-6 days,Female,0,0,0,0,6,1.8,6,1.8
Tuberculosis,South Asia,1990,0-6 days,Both,0,0,0,0,19,2.7,19,2.7
Tuberculosis,South Asia,1990,7-27 days,Male,0,0,0,0,37,3.6,37,3.6
Tuberculosis,South Asia,1990,7-27 days,Female,0,0,0,0,19,1.9,19,1.9
Tuberculosis,South Asia,1990,7-27 days,Both,0,0,0,0,56,2.7,56,2.7
Tuberculosis,South Asia,1990,28-364 days,Male,"3,567",21.7,"305,722","1,864.10",572,3.5,"306,295","1,867.60"
Tuberculosis,South Asia,1990,28-364 days,Female,"4,419",28.6,"378,832","2,453.90",283,1.8,"379,115","2,455.70"
Tuberculosis,South Asia,1990,28-364 days,Both,"7,986",25.1,"684,554","2,150.10",856,2.7,"685,410","2,152.70"
Tuberculosis,South Asia,1990,1-4 years,Male,"7,747",11.6,"649,864",976.5,"8,908",13.4,"658,773",989.9
Tuberculosis,South Asia,1990,1-4 years,Female,"7,221",11.6,"605,760",973.6,"4,310",6.9,"610,070",980.6
Tuberculosis,South Asia,1990,1-4 years,Both,"14,968",11.6,"1,255,624",975.1,"13,218",10.3,"1,268,843",985.4
Tuberculosis,South Asia,1990,5-9 years,Male,"4,283",5.7,"337,512",446.6,"25,414",33.6,"362,926",480.3
Tuberculosis,South Asia,1990,5-9 years,Female,"5,534",7.8,"436,015",618.4,"12,872",18.3,"448,887",636.7
Tuberculosis,South Asia,1990,5-9 years,Both,"9,817",6.7,"773,526",529.6,"38,286",26.2,"811,813",555.8
Tuberculosis,South Asia,1990,10-14 years,Male,"2,385",3.5,"175,439",259.2,"40,089",59.2,"215,528",318.4
Tuberculosis,South Asia,1990,10-14 years,Female,"3,869",6.1,"284,613",450.7,"21,209",33.6,"305,822",484.3
Tuberculosis,South Asia,1990,10-14 years,Both,"6,254",4.8,"460,053",351.6,"61,298",46.9,"521,351",398.5
Tuberculosis,South Asia,1990,15-19 years,Male,"6,451",10.9,"442,946",746.1,"54,031",91,"496,977",837.2
Tuberculosis,South Asia,1990,15-19 years,Female,"6,251",11.3,"429,347",778.7,"30,139",54.7,"459,487",833.4
Tuberculosis,South Asia,1990,15-19 years,Both,"12,702",11.1,"872,294",761.8,"84,170",73.5,"956,464",835.3
Tuberculosis,South Asia,1990,20-24 years,Male,"12,764",24,"814,909","1,530.10","67,199",126.2,"882,108","1,656.30"
Tuberculosis,South Asia,1990,20-24 years,Female,"12,328",25.1,"787,405","1,602.80","37,718",76.8,"825,123","1,679.60"
Tuberculosis,South Asia,1990,20-24 years,Both,"25,092",24.5,"1,602,313","1,565.00","104,917",102.5,"1,707,231","1,667.50"
Tuberculosis,South Asia,1990,25-29 years,Male,"17,142",36.6,"1,009,880","2,158.90","161,993",346.3,"1,171,874","2,505.30"
Tuberculosis,South Asia,1990,25-29 years,Female,"14,691",34.3,"866,270","2,022.60","85,171",198.9,"951,441","2,221.50"
Tuberculosis,South Asia,1990,25-29 years,Both,"31,833",35.5,"1,876,150","2,093.80","247,164",275.8,"2,123,315","2,369.60"
Tuberculosis,South Asia,1990,30-34 years,Male,"22,389",54.9,"1,207,715","2,960.20","183,714",450.3,"1,391,429","3,410.50"
Tuberculosis,South Asia,1990,30-34 years,Female,"13,377",36.2,"722,361","1,953.70","88,653",239.8,"811,014","2,193.50"
Tuberculosis,South Asia,1990,30-34 years,Both,"35,766",46,"1,930,076","2,481.70","272,367",350.2,"2,202,443","2,831.90"
Tuberculosis,South Asia,1990,35-39 years,Male,"29,222",83.3,"1,432,045","4,084.60","182,117",519.4,"1,614,162","4,604.00"
Tuberculosis,South Asia,1990,35-39 years,Female,"16,275",51.3,"798,529","2,515.80","87,812",276.7,"886,341","2,792.50"
Tuberculosis,South Asia,1990,35-39 years,Both,"45,497",68.1,"2,230,574","3,339.20","269,929",404.1,"2,500,503","3,743.30"
Tuberculosis,South Asia,1990,40-44 years,Male,"28,353",106.6,"1,250,766","4,702.50","175,285",659,"1,426,051","5,361.50"
Tuberculosis,South Asia,1990,40-44 years,Female,"13,782",55.7,"608,655","2,459.10","84,991",343.4,"693,645","2,802.50"
Tuberculosis,South Asia,1990,40-44 years,Both,"42,135",82.1,"1,859,421","3,621.10","260,276",506.9,"2,119,696","4,128.00"
Tuberculosis,South Asia,1990,45-49 years,Male,"35,816",157.6,"1,408,179","6,196.50","173,122",761.8,"1,581,301","6,958.30"
Tuberculosis,South Asia,1990,45-49 years,Female,"16,651",78.1,"654,574","3,072.00","84,165",395,"738,738","3,467.10"
Tuberculosis,South Asia,1990,45-49 years,Both,"52,467",119.2,"2,062,752","4,684.60","257,287",584.3,"2,320,040","5,268.90"
Tuberculosis,South Asia,1990,50-54 years,Male,"40,001",201,"1,385,044","6,957.90","137,967",693.1,"1,523,012","7,651.00"
Tuberculosis,South Asia,1990,50-54 years,Female,"18,515",98.3,"640,647","3,402.90","71,472",379.6,"712,119","3,782.50"
Tuberculosis,South Asia,1990,50-54 years,Both,"58,517",151.1,"2,025,692","5,230.00","209,439",540.7,"2,235,130","5,770.70"
Tuberculosis,South Asia,1990,55-59 years,Male,"48,031",291,"1,441,128","8,730.30","136,041",824.1,"1,577,169","9,554.40"
Tuberculosis,South Asia,1990,55-59 years,Female,"22,660",146.3,"679,092","4,384.10","70,692",456.4,"749,785","4,840.50"
Tuberculosis,South Asia,1990,55-59 years,Both,"70,691",220.9,"2,120,220","6,626.30","206,733",646.1,"2,326,953","7,272.40"
Tuberculosis,South Asia,1990,60-64 years,Male,"52,271",402.1,"1,332,555","10,249.70","61,678",474.4,"1,394,233","10,724.10"
