cause_medium,region_name,year,age_name,sex_name,death_abs,death_rate,YLL_abs,YLL_rate,YLD_abs,YLD_rate,DALY_abs,DALY_rate
Tuberculosis,Southeast Asia,1990,0-6 days,Male,0,0,0,0,5,3.9,5,3.9
Tuberculosis,Southeast Asia,1990,0-6 days,Female,0,0,0,0,2,2.1,2,2.1
Tuberculosis,Southeast Asia,1990,0-6 days,Both,0,0,0,0,7,3,7,3
Tuberculosis,Southeast Asia,1990,7-27 days,Male,0,0,0,0,14,3.9,14,3.9
Tuberculosis,Southeast Asia,1990,7-27 days,Female,0,0,0,0,7,2.1,7,2.1
Tuberculosis,Southeast Asia,1990,7-27 days,Both,0,0,0,0,21,3,21,3
Tuberculosis,Southeast Asia,1990,28-364 days,Male,"2,426",42.8,"208,100","3,671.90",215,3.8,"208,315","3,675.70"
Tuberculosis,Southeast Asia,1990,28-364 days,Female,"2,365",43.5,"202,963","3,728.80",105,1.9,"203,068","3,730.80"
Tuberculosis,Southeast Asia,1990,28-364 days,Both,"4,791",43.1,"411,063","3,699.80",320,2.9,"411,383","3,702.70"
Tuberculosis,Southeast Asia,1990,1-4 years,Male,"4,973",20.8,"417,266","1,748.40","3,098",13,"420,364","1,761.40"
Tuberculosis,Southeast Asia,1990,1-4 years,Female,"4,607",20,"386,555","1,680.10","1,575",6.8,"388,130","1,686.90"
Tuberculosis,Southeast Asia,1990,1-4 years,Both,"9,580",20.4,"803,821","1,714.90","4,673",10,"808,494","1,724.90"
Tuberculosis,Southeast Asia,1990,5-9 years,Male,"1,767",6.1,"139,218",480.7,"9,279",32,"148,496",512.8
Tuberculosis,Southeast Asia,1990,5-9 years,Female,"1,295",4.6,"102,041",363.7,"4,756",17,"106,798",380.7
Tuberculosis,Southeast Asia,1990,5-9 years,Both,"3,062",5.4,"241,259",423.2,"14,035",24.6,"255,294",447.8
Tuberculosis,Southeast Asia,1990,10-14 years,Male,"1,114",4.2,"82,128",307.7,"15,600",58.4,"97,728",366.2
Tuberculosis,Southeast Asia,1990,10-14 years,Female,"1,224",4.7,"90,322",347.8,"8,028",30.9,"98,350",378.8
Tuberculosis,Southeast Asia,1990,10-14 years,Both,"2,338",4.4,"172,450",327.5,"23,628",44.9,"196,078",372.4
Tuberculosis,Southeast Asia,1990,15-19 years,Male,"2,720",10.8,"186,746",744,"23,660",94.3,"210,406",838.2
Tuberculosis,Southeast Asia,1990,15-19 years,Female,"2,826",11.5,"194,138",789.5,"12,035",48.9,"206,173",838.4
Tuberculosis,Southeast Asia,1990,15-19 years,Both,"5,546",11.2,"380,884",766.5,"35,695",71.8,"416,579",838.3
Tuberculosis,Southeast Asia,1990,20-24 years,Male,"4,988",22,"318,263","1,404.40","30,622",135.1,"348,885","1,539.60"
Tuberculosis,Southeast Asia,1990,20-24 years,Female,"4,642",20.7,"296,239","1,320.90","15,725",70.1,"311,963","1,391.00"
Tuberculosis,Southeast Asia,1990,20-24 years,Both,"9,630",21.4,"614,502","1,362.90","46,347",102.8,"660,848","1,465.70"
Tuberculosis,Southeast Asia,1990,25-29 years,Male,"8,092",40.7,"476,715","2,398.20","73,452",369.5,"550,167","2,767.70"
Tuberculosis,Southeast Asia,1990,25-29 years,Female,"6,373",32.2,"375,306","1,894.80","37,506",189.4,"412,812","2,084.20"
Tuberculosis,Southeast Asia,1990,25-29 years,Both,"14,465",36.5,"852,021","2,146.90","110,958",279.6,"962,979","2,426.50"
Tuberculosis,Southeast Asia,1990,30-34 years,Male,"9,194",54.3,"495,959","2,929.40","76,487",451.8,"572,446","3,381.20"
Tuberculosis,Southeast Asia,1990,30-34 years,Female,"6,157",36.2,"332,094","1,950.30","39,540",232.2,"371,634","2,182.50"
Tuberculosis,Southeast Asia,1990,30-34 years,Both,"15,351",45.2,"828,053","2,438.50","116,027",341.7,"944,080","2,780.20"
Tuberculosis,Southeast Asia,1990,35-39 years,Male,"10,117",73.9,"495,938","3,621.00","75,943",554.5,"571,881","4,175.50"
Tuberculosis,Southeast Asia,1990,35-39 years,Female,"6,601",47.5,"323,654","2,331.10","39,239",282.6,"362,893","2,613.70"
Tuberculosis,Southeast Asia,1990,35-39 years,Both,"16,718",60.6,"819,592","2,971.60","115,182",417.6,"934,774","3,389.20"
Tuberculosis,Southeast Asia,1990,40-44 years,Male,"9,394",94,"414,666","4,147.40","67,585",676,"482,251","4,823.40"
Tuberculosis,Southeast Asia,1990,40-44 years,Female,"5,995",57,"264,718","2,515.80","36,278",344.8,"300,996","2,860.60"
Tuberculosis,Southeast Asia,1990,40-44 years,Both,"15,389",75,"679,383","3,310.80","103,864",506.1,"783,247","3,816.90"
Tuberculosis,Southeast Asia,1990,45-49 years,Male,"11,046",130.4,"434,454","5,129.70","66,856",789.4,"501,310","5,919.10"
Tuberculosis,Southeast Asia,1990,45-49 years,Female,"6,228",68.9,"244,937","2,709.80","36,046",398.8,"280,984","3,108.60"
Tuberculosis,Southeast Asia,1990,45-49 years,Both,"17,275",98.7,"679,391","3,880.40","102,902",587.7,"782,293","4,468.10"
Tuberculosis,Southeast Asia,1990,50-54 years,Male,"12,904",172.4,"446,934","5,972.00","47,878",639.8,"494,812","6,611.80"
Tuberculosis,Southeast Asia,1990,50-54 years,Female,"7,874",97,"272,643","3,359.90","26,803",330.3,"299,446","3,690.20"
Tuberculosis,Southeast Asia,1990,50-54 years,Both,"20,778",133.2,"719,578","4,613.10","74,681",478.8,"794,258","5,091.90"
Tuberculosis,Southeast Asia,1990,55-59 years,Male,"14,578",230.7,"437,511","6,922.30","47,336",749,"484,847","7,671.30"
Tuberculosis,Southeast Asia,1990,55-59 years,Female,"7,836",112.9,"234,989","3,385.10","26,583",382.9,"261,572","3,768.00"
Tuberculosis,Southeast Asia,1990,55-59 years,Both,"22,414",169,"672,500","5,070.80","73,919",557.4,"746,418","5,628.20"
Tuberculosis,Southeast Asia,1990,60-64 years,Male,"16,466",334.7,"419,682","8,530.50","21,342",433.8,"441,024","8,964.30"
Tuberculosis,Southeast Asia,1990,60-64 years,Female,"9,344",170.5,"237,817","4,339.80","12,832",234.2,"250,649","4,574.00"
Tuberculosis,Southeast Asia,1990,60-64 years,Both,"25,811",248.2,"657,498","6,322.30","34,174",328.6,"691,672","6,650.90"
Tuberculosis,Southeast Asia,1990,65-69 years,Male,"14,900",422.7,"313,956","8,906.90","20,906",593.1,"334,862","9,500.00"
Tuberculosis,Southeast Asia,1990,65-69 years,Female,"8,749",215.2,"183,951","4,525.50","12,641",311,"196,593","4,836.50"
Tuberculosis,Southeast Asia,1990,65-69 years,Both,"23,649",311.6,"497,907","6,560.30","33,547",442,"531,454","7,002.40"
Tuberculosis,Southeast Asia,1990,70-74 years,Male,"12,884",544.8,"217,142","9,181.60","7,093",299.9,"224,235","9,481.60"
Tuberculosis,Southeast Asia,1990,70-74 years,Female,"8,265",288.1,"138,869","4,841.30","4,743",165.3,"143,612","5,006.60"
Tuberculosis,Southeast Asia,1990,70-74 years,Both,"21,148",404.1,"356,011","6,802.70","11,836",226.2,"367,847","7,028.90"
Tuberculosis,Southeast Asia,1990,75-79 years,Male,"9,892",672,"127,797","8,681.60","6,969",473.4,"134,766","9,155.00"
Tuberculosis,Southeast Asia,1990,75-79 years,Female,"7,036",369.9,"90,573","4,761.10","4,644",244.1,"95,217","5,005.20"
Tuberculosis,Southeast Asia,1990,75-79 years,Both,"16,928",501.7,"218,370","6,471.40","11,613",344.1,"229,983","6,815.60"
Tuberculosis,Southeast Asia,1990,80+ years,Male,"8,387",848.2,"63,514","6,423.20","1,397",141.2,"64,910","6,564.40"
Tuberculosis,Southeast Asia,1990,80+ years,Female,"7,018",479.5,"51,241","3,500.70","1,006",68.7,"52,248","3,569.40"
Tuberculosis,Southeast Asia,1990,80+ years,Both,"15,405",628.1,"114,755","4,679.00","2,403",98,"117,158","4,776.90"
Tuberculosis,Southeast Asia,1990,All ages,Male,"155,841",67.9,"5,695,987","2,482.20","595,735",259.6,"6,291,722","2,741.80"
Tuberculosis,Southeast Asia,1990,All ages,Female,"104,438",45.2,"4,023,051","1,741.10","320,095",138.5,"4,343,146","1,879.60"
Tuberculosis,Southeast Asia,1990,All ages,Both,"260,279",56.5,"9,719,038","2,110.40","915,830",198.9,"10,634,868","2,309.20"
Tuberculosis,Southeast Asia,2005,0-6 days,Male,0,0,0,0,3,3.1,3,3.1
Tuberculosis,Southeast Asia,2005,0-6 days,Female,0,0,0,0,2,1.4,2,1.4
Tuberculosis,Southeast Asia,2005,0-6 days,Both,0,0,0,0,5,2.3,5,2.3
Tuberculosis,Southeast Asia,2005,7-27 days,Male,0,0,0,0,10,3.1,10,3.1
Tuberculosis,Southeast Asia,2005,7-27 days,Female,0,0,0,0,5,1.4,5,1.4
Tuberculosis,Southeast Asia,2005,7-27 days,Both,0,0,0,0,15,2.3,15,2.3
Tuberculosis,Southeast Asia,2005,28-364 days,Male,"1,025",19.1,"87,963","1,643.40",162,3,"88,125","1,646.50"
Tuberculosis,Southeast Asia,2005,28-364 days,Female,899,17.6,"77,210","1,508.70",69,1.4,"77,279","1,510.10"
Tuberculosis,Southeast Asia,2005,28-364 days,Both,"1,924",18.4,"165,173","1,577.60",231,2.2,"165,404","1,579.80"
Tuberculosis,Southeast Asia,2005,1-4 years,Male,"2,013",8.8,"168,869",740.6,"2,329",10.2,"171,198",750.8
Tuberculosis,Southeast Asia,2005,1-4 years,Female,"1,770",8.1,"148,483",679.4,"1,041",4.8,"149,524",684.2
Tuberculosis,Southeast Asia,2005,1-4 years,Both,"3,782",8.5,"317,352",710.7,"3,370",7.5,"320,722",718.2
Tuberculosis,Southeast Asia,2005,5-9 years,Male,827,2.9,"65,177",231.8,"6,953",24.7,"72,130",256.6
Tuberculosis,Southeast Asia,2005,5-9 years,Female,649,2.4,"51,134",189.3,"3,265",12.1,"54,398",201.4
Tuberculosis,Southeast Asia,2005,5-9 years,Both,"1,476",2.7,"116,310",211,"10,217",18.5,"126,528",229.5
Tuberculosis,Southeast Asia,2005,10-14 years,Male,673,2.3,"49,544",169.3,"12,763",43.6,"62,306",212.9
Tuberculosis,Southeast Asia,2005,10-14 years,Female,769,2.7,"56,671",200.9,"6,314",22.4,"62,985",223.3
Tuberculosis,Southeast Asia,2005,10-14 years,Both,"1,442",2.5,"106,214",184.8,"19,077",33.2,"125,291",218
Tuberculosis,Southeast Asia,2005,15-19 years,Male,"1,963",6.8,"134,708",466.4,"19,718",68.3,"154,425",534.7
Tuberculosis,Southeast Asia,2005,15-19 years,Female,"2,052",7.3,"140,942",503.6,"10,498",37.5,"151,440",541.1
Tuberculosis,Southeast Asia,2005,15-19 years,Both,"4,015",7.1,"275,649",484.7,"30,216",53.1,"305,865",537.8
Tuberculosis,Southeast Asia,2005,20-24 years,Male,"4,578",16.6,"292,114","1,057.10","27,244",98.6,"319,358","1,155.70"
Tuberculosis,Southeast Asia,2005,20-24 years,Female,"4,306",15.9,"274,765","1,013.10","14,799",54.6,"289,564","1,067.70"
Tuberculosis,Southeast Asia,2005,20-24 years,Both,"8,884",16.2,"566,879","1,035.30","42,043",76.8,"608,921","1,112.10"
Tuberculosis,Southeast Asia,2005,25-29 years,Male,"7,948",32.1,"468,165","1,892.00","74,500",301.1,"542,665","2,193.10"
Tuberculosis,Southeast Asia,2005,25-29 years,Female,"5,918",24,"348,507","1,410.50","38,759",156.9,"387,266","1,567.40"
Tuberculosis,Southeast Asia,2005,25-29 years,Both,"13,866",28,"816,673","1,651.40","113,259",229,"929,932","1,880.50"
Tuberculosis,Southeast Asia,2005,30-34 years,Male,"10,708",46.7,"577,544","2,516.40","103,972",453,"681,516","2,969.40"
Tuberculosis,Southeast Asia,2005,30-34 years,Female,"6,624",28.5,"357,129","1,535.40","48,929",210.4,"406,059","1,745.80"
Tuberculosis,Southeast Asia,2005,30-34 years,Both,"17,332",37.5,"934,673","2,022.60","152,902",330.9,"1,087,575","2,353.50"
Tuberculosis,Southeast Asia,2005,35-39 years,Male,"13,062",62.6,"640,233","3,070.60","103,519",496.5,"743,753","3,567.10"
Tuberculosis,Southeast Asia,2005,35-39 years,Female,"8,039",37.6,"393,998","1,844.60","48,529",227.2,"442,527","2,071.80"
Tuberculosis,Southeast Asia,2005,35-39 years,Both,"21,101",50,"1,034,231","2,450.20","152,048",360.2,"1,186,279","2,810.40"
Tuberculosis,Southeast Asia,2005,40-44 years,Male,"13,705",74.1,"604,952","3,268.60","106,386",574.8,"711,338","3,843.50"
Tuberculosis,Southeast Asia,2005,40-44 years,Female,"7,675",40.5,"338,843","1,786.90","48,489",255.7,"387,332","2,042.60"
Tuberculosis,Southeast Asia,2005,40-44 years,Both,"21,381",57.1,"943,795","2,518.80","154,875",413.3,"1,098,670","2,932.10"
Tuberculosis,Southeast Asia,2005,45-49 years,Male,"14,769",93.6,"580,837","3,682.80","105,357",668,"686,194","4,350.90"
Tuberculosis,Southeast Asia,2005,45-49 years,Female,"7,240",44.7,"284,718","1,758.60","48,163",297.5,"332,881","2,056.10"
Tuberculosis,Southeast Asia,2005,45-49 years,Both,"22,009",68.9,"865,554","2,708.10","153,520",480.3,"1,019,075","3,188.40"
Tuberculosis,Southeast Asia,2005,50-54 years,Male,"14,899",119.5,"515,921","4,136.90","65,355",524.1,"581,276","4,661.00"
Tuberculosis,Southeast Asia,2005,50-54 years,Female,"7,227",56,"250,201","1,939.60","33,989",263.5,"284,190","2,203.10"
Tuberculosis,Southeast Asia,2005,50-54 years,Both,"22,126",87.2,"766,122","3,019.70","99,344",391.6,"865,466","3,411.30"
Tuberculosis,Southeast Asia,2005,55-59 years,Male,"13,389",155.5,"401,831","4,665.40","64,574",749.7,"466,405","5,415.20"
Tuberculosis,Southeast Asia,2005,55-59 years,Female,"6,338",67.4,"190,047","2,021.00","33,672",358.1,"223,719","2,379.10"
Tuberculosis,Southeast Asia,2005,55-59 years,Both,"19,727",109.5,"591,878","3,285.20","98,246",545.3,"690,124","3,830.50"
Tuberculosis,Southeast Asia,2005,60-64 years,Male,"14,914",221,"380,072","5,631.80","29,749",440.8,"409,822","6,072.60"
Tuberculosis,Southeast Asia,2005,60-64 years,Female,"7,414",96.5,"188,606","2,454.10","17,768",231.2,"206,374","2,685.30"
Tuberculosis,Southeast Asia,2005,60-64 years,Both,"22,328",154.7,"568,678","3,939.90","47,517",329.2,"616,195","4,269.10"
Tuberculosis,Southeast Asia,2005,65-69 years,Male,"14,943",277.4,"314,807","5,844.40","29,173",541.6,"343,980","6,386.00"
Tuberculosis,Southeast Asia,2005,65-69 years,Female,"8,501",132.1,"178,662","2,775.80","17,465",271.4,"196,128","3,047.10"
Tuberculosis,Southeast Asia,2005,65-69 years,Both,"23,444",198.3,"493,469","4,173.90","46,638",394.5,"540,107","4,568.30"
Tuberculosis,Southeast Asia,2005,70-74 years,Male,"13,526",348.5,"227,799","5,869.30","9,825",253.1,"237,624","6,122.50"
Tuberculosis,Southeast Asia,2005,70-74 years,Female,"8,286",169.8,"139,138","2,852.00","6,468",132.6,"145,606","2,984.60"
Tuberculosis,Southeast Asia,2005,70-74 years,Both,"21,811",249,"366,936","4,188.90","16,293",186,"383,230","4,374.90"
Tuberculosis,Southeast Asia,2005,75-79 years,Male,"10,336",436.5,"133,439","5,635.80","9,636",407,"143,075","6,042.70"
Tuberculosis,Southeast Asia,2005,75-79 years,Female,"6,837",217.8,"87,888","2,800.20","6,337",201.9,"94,224","3,002.10"
Tuberculosis,Southeast Asia,2005,75-79 years,Both,"17,172",311.9,"221,327","4,019.50","15,972",290.1,"237,299","4,309.60"
Tuberculosis,Southeast Asia,2005,80+ years,Male,"9,919",575,"72,377","4,195.60","2,065",119.7,"74,441","4,315.30"
Tuberculosis,Southeast Asia,2005,80+ years,Female,"7,576",293.9,"52,824","2,049.40","1,447",56.1,"54,271","2,105.50"
Tuberculosis,Southeast Asia,2005,80+ years,Both,"17,496",406.6,"125,201","2,909.90","3,511",81.6,"128,712","2,991.50"
Tuberculosis,Southeast Asia,2005,All ages,Male,"163,197",57,"5,716,351","1,995.10","773,293",269.9,"6,489,644","2,265.00"
Tuberculosis,Southeast Asia,2005,All ages,Female,"98,119",33.9,"3,559,764","1,230.80","386,009",133.5,"3,945,773","1,364.30"
Tuberculosis,Southeast Asia,2005,All ages,Both,"261,316",45.4,"9,276,116","1,611.20","1,159,301",201.4,"10,435,417","1,812.50"
Tuberculosis,Southeast Asia,2010,0-6 days,Male,0,0,0,0,3,2.8,3,2.8
Tuberculosis,Southeast Asia,2010,0-6 days,Female,0,0,0,0,1,1.3,1,1.3
Tuberculosis,Southeast Asia,2010,0-6 days,Both,0,0,0,0,5,2.1,5,2.1
Tuberculosis,Southeast Asia,2010,7-27 days,Male,0,0,0,0,9,2.9,9,2.9
Tuberculosis,Southeast Asia,2010,7-27 days,Female,0,0,0,0,4,1.3,4,1.3
Tuberculosis,Southeast Asia,2010,7-27 days,Both,0,0,0,0,13,2.1,13,2.1
Tuberculosis,Southeast Asia,2010,28-364 days,Male,708,13.4,"60,790","1,153.30",146,2.8,"60,936","1,156.00"
Tuberculosis,Southeast Asia,2010,28-364 days,Female,618,12.3,"53,049","1,053.60",63,1.3,"53,112","1,054.90"
Tuberculosis,Southeast Asia,2010,28-364 days,Both,"1,326",12.9,"113,839","1,104.60",209,2,"114,048","1,106.60"
Tuberculosis,Southeast Asia,2010,1-4 years,Male,"1,368",6,"114,744",503.1,"2,199",9.6,"116,943",512.7
Tuberculosis,Southeast Asia,2010,1-4 years,Female,"1,243",5.7,"104,316",477.9,952,4.4,"105,268",482.3
Tuberculosis,Southeast Asia,2010,1-4 years,Both,"2,611",5.8,"219,060",490.8,"3,151",7.1,"222,211",497.8
Tuberculosis,Southeast Asia,2010,5-9 years,Male,605,2.1,"47,692",166.9,"6,690",23.4,"54,382",190.3
Tuberculosis,Southeast Asia,2010,5-9 years,Female,483,1.8,"38,050",138.8,"3,015",11,"41,066",149.8
Tuberculosis,Southeast Asia,2010,5-9 years,Both,"1,088",1.9,"85,742",153.1,"9,705",17.3,"95,447",170.4
