cause_medium,region_name,year,age_name,sex_name,death_abs,death_rate,YLL_abs,YLL_rate,YLD_abs,YLD_rate,DALY_abs,DALY_rate
Tuberculosis,Southern Latin America,1990,0-6 days,Male,0,0,0,0,0,1.2,0,1.2
Tuberculosis,Southern Latin America,1990,0-6 days,Female,0,0,0,0,0,0.4,0,0.4
Tuberculosis,Southern Latin America,1990,0-6 days,Both,0,0,0,0,0,0.8,0,0.8
Tuberculosis,Southern Latin America,1990,7-27 days,Male,0,0,0,0,0,1.1,0,1.1
Tuberculosis,Southern Latin America,1990,7-27 days,Female,0,0,0,0,0,0.5,0,0.5
Tuberculosis,Southern Latin America,1990,7-27 days,Both,0,0,0,0,0,0.8,0,0.8
Tuberculosis,Southern Latin America,1990,28-364 days,Male,12,2.5,"1,055",214.3,6,1.1,"1,061",215.4
Tuberculosis,Southern Latin America,1990,28-364 days,Female,9,1.9,757,159.2,2,0.4,759,159.6
Tuberculosis,Southern Latin America,1990,28-364 days,Both,21,2.2,"1,812",187.2,7,0.8,"1,819",188
Tuberculosis,Southern Latin America,1990,1-4 years,Male,17,0.8,"1,413",68.2,77,3.7,"1,490",71.9
Tuberculosis,Southern Latin America,1990,1-4 years,Female,14,0.7,"1,152",57.5,30,1.5,"1,182",59
Tuberculosis,Southern Latin America,1990,1-4 years,Both,31,0.8,"2,565",62.9,107,2.6,"2,672",65.6
Tuberculosis,Southern Latin America,1990,5-9 years,Male,5,0.2,402,16.3,224,9.1,626,25.4
Tuberculosis,Southern Latin America,1990,5-9 years,Female,5,0.2,395,16.5,82,3.4,477,20
Tuberculosis,Southern Latin America,1990,5-9 years,Both,10,0.2,798,16.4,306,6.3,"1,104",22.7
Tuberculosis,Southern Latin America,1990,10-14 years,Male,6,0.2,429,17.7,366,15.1,795,32.8
Tuberculosis,Southern Latin America,1990,10-14 years,Female,6,0.3,473,20,145,6.2,618,26.2
Tuberculosis,Southern Latin America,1990,10-14 years,Both,12,0.3,902,18.9,511,10.7,"1,413",29.6
Tuberculosis,Southern Latin America,1990,15-19 years,Male,15,0.7,"1,008",46.4,510,23.5,"1,518",69.9
Tuberculosis,Southern Latin America,1990,15-19 years,Female,15,0.7,"1,008",47.4,209,9.8,"1,216",57.2
Tuberculosis,Southern Latin America,1990,15-19 years,Both,29,0.7,"2,015",46.9,719,16.7,"2,734",63.6
Tuberculosis,Southern Latin America,1990,20-24 years,Male,26,1.3,"1,672",84.4,654,33,"2,326",117.4
Tuberculosis,Southern Latin America,1990,20-24 years,Female,25,1.3,"1,606",82.2,269,13.8,"1,875",96
Tuberculosis,Southern Latin America,1990,20-24 years,Both,51,1.3,"3,278",83.3,924,23.5,"4,202",106.7
Tuberculosis,Southern Latin America,1990,25-29 years,Male,35,1.8,"2,047",106.9,"1,799",93.9,"3,846",200.8
Tuberculosis,Southern Latin America,1990,25-29 years,Female,31,1.6,"1,801",93.9,742,38.7,"2,543",132.6
Tuberculosis,Southern Latin America,1990,25-29 years,Both,65,1.7,"3,848",100.4,"2,541",66.3,"6,390",166.7
Tuberculosis,Southern Latin America,1990,30-34 years,Male,54,3.1,"2,922",167.8,"2,481",142.5,"5,403",310.2
Tuberculosis,Southern Latin America,1990,30-34 years,Female,35,2,"1,888",105.5,992,55.4,"2,880",160.9
