cause_medium,region_name,year,age_name,sex_name,death_abs,death_rate,YLL_abs,YLL_rate,YLD_abs,YLD_rate,DALY_abs,DALY_rate
Tuberculosis,Tropical Latin America,1990,0-6 days,Male,0,0,0,0,0,0.7,0,0.7
Tuberculosis,Tropical Latin America,1990,0-6 days,Female,0,0,0,0,0,0.3,0,0.3
Tuberculosis,Tropical Latin America,1990,0-6 days,Both,0,0,0,0,0,0.5,0,0.5
Tuberculosis,Tropical Latin America,1990,7-27 days,Male,0,0,0,0,1,0.7,1,0.7
Tuberculosis,Tropical Latin America,1990,7-27 days,Female,0,0,0,0,0,0.3,0,0.3
Tuberculosis,Tropical Latin America,1990,7-27 days,Both,0,0,0,0,1,0.5,1,0.5
Tuberculosis,Tropical Latin America,1990,28-364 days,Male,107,6.2,"9,168",533.2,12,0.7,"9,180",533.9
Tuberculosis,Tropical Latin America,1990,28-364 days,Female,74,4.5,"6,336",384,5,0.3,"6,341",384.3
Tuberculosis,Tropical Latin America,1990,28-364 days,Both,181,5.4,"15,504",460.1,17,0.5,"15,521",460.6
Tuberculosis,Tropical Latin America,1990,1-4 years,Male,86,1.1,"7,195",95.5,196,2.6,"7,391",98.1
Tuberculosis,Tropical Latin America,1990,1-4 years,Female,66,0.9,"5,519",76,81,1.1,"5,600",77.1
Tuberculosis,Tropical Latin America,1990,1-4 years,Both,152,1,"12,714",85.9,277,1.9,"12,991",87.8
Tuberculosis,Tropical Latin America,1990,5-9 years,Male,27,0.3,"2,125",22.2,590,6.2,"2,715",28.4
Tuberculosis,Tropical Latin America,1990,5-9 years,Female,18,0.2,"1,394",15,255,2.7,"1,649",17.8
Tuberculosis,Tropical Latin America,1990,5-9 years,Both,45,0.2,"3,519",18.7,845,4.5,"4,364",23.2
Tuberculosis,Tropical Latin America,1990,10-14 years,Male,27,0.3,"1,979",22.9,859,9.9,"2,839",32.8
Tuberculosis,Tropical Latin America,1990,10-14 years,Female,23,0.3,"1,695",19.8,401,4.7,"2,096",24.5
Tuberculosis,Tropical Latin America,1990,10-14 years,Both,50,0.3,"3,674",21.4,"1,260",7.3,"4,935",28.7
Tuberculosis,Tropical Latin America,1990,15-19 years,Male,68,0.9,"4,646",60.8,"1,103",14.4,"5,749",75.2
Tuberculosis,Tropical Latin America,1990,15-19 years,Female,59,0.8,"4,086",53.4,550,7.2,"4,635",60.5
Tuberculosis,Tropical Latin America,1990,15-19 years,Both,127,0.8,"8,731",57.1,"1,653",10.8,"10,384",67.9
Tuberculosis,Tropical Latin America,1990,20-24 years,Male,148,2.1,"9,449",131.9,"1,417",19.8,"10,865",151.6
Tuberculosis,Tropical Latin America,1990,20-24 years,Female,116,1.6,"7,399",102.9,690,9.6,"8,090",112.5
Tuberculosis,Tropical Latin America,1990,20-24 years,Both,264,1.8,"16,848",117.4,"2,107",14.7,"18,955",132
Tuberculosis,Tropical Latin America,1990,25-29 years,Male,240,3.5,"14,153",206.3,"3,973",57.9,"18,126",264.2
Tuberculosis,Tropical Latin America,1990,25-29 years,Female,135,1.9,"7,918",114.4,"1,902",27.5,"9,820",141.9
Tuberculosis,Tropical Latin America,1990,25-29 years,Both,375,2.7,"22,071",160.2,"5,875",42.6,"27,946",202.8
Tuberculosis,Tropical Latin America,1990,30-34 years,Male,380,6.5,"20,490",352.9,"5,444",93.8,"25,934",446.7
Tuberculosis,Tropical Latin America,1990,30-34 years,Female,140,2.4,"7,530",127.5,"2,427",41.1,"9,957",168.6
Tuberculosis,Tropical Latin America,1990,30-34 years,Both,519,4.4,"28,019",239.2,"7,871",67.2,"35,891",306.5
Tuberculosis,Tropical Latin America,1990,35-39 years,Male,444,9.1,"21,751",446.8,"5,362",110.1,"27,113",556.9
Tuberculosis,Tropical Latin America,1990,35-39 years,Female,144,2.9,"7,045",141.4,"2,381",47.8,"9,425",189.2
Tuberculosis,Tropical Latin America,1990,35-39 years,Both,587,6,"28,795",292.3,"7,743",78.6,"36,538",370.9
Tuberculosis,Tropical Latin America,1990,40-44 years,Male,481,12.4,"21,252",548.4,"4,665",120.4,"25,917",668.8
Tuberculosis,Tropical Latin America,1990,40-44 years,Female,147,3.7,"6,497",162.7,"2,081",52.1,"8,578",214.8
Tuberculosis,Tropical Latin America,1990,40-44 years,Both,629,8,"27,750",352.7,"6,746",85.7,"34,496",438.4
Tuberculosis,Tropical Latin America,1990,45-49 years,Male,485,15.9,"19,099",624.5,"4,638",151.6,"23,738",776.1
Tuberculosis,Tropical Latin America,1990,45-49 years,Female,136,4.3,"5,348",168,"2,069",65,"7,417",233
Tuberculosis,Tropical Latin America,1990,45-49 years,Both,621,10,"24,447",391.7,"6,707",107.5,"31,154",499.2
Tuberculosis,Tropical Latin America,1990,50-54 years,Male,511,19.1,"17,690",662.1,"2,629",98.4,"20,319",760.5
Tuberculosis,Tropical Latin America,1990,50-54 years,Female,152,5.4,"5,263",186.6,"1,312",46.5,"6,574",233.1
Tuberculosis,Tropical Latin America,1990,50-54 years,Both,663,12.1,"22,952",417.9,"3,941",71.7,"26,893",489.6
Tuberculosis,Tropical Latin America,1990,55-59 years,Male,473,22.6,"14,190",678.8,"2,599",124.3,"16,789",803.1
Tuberculosis,Tropical Latin America,1990,55-59 years,Female,142,6.3,"4,264",189.6,"1,288",57.3,"5,552",246.9
