cause_medium,region_name,year,age_name,sex_name,death_abs,death_rate,YLL_abs,YLL_rate,YLD_abs,YLD_rate,DALY_abs,DALY_rate
Tuberculosis,Western Europe,1990,0-6 days,Male,0,0,0,0,0,0.3,0,0.3
Tuberculosis,Western Europe,1990,0-6 days,Female,0,0,0,0,0,0.1,0,0.1
Tuberculosis,Western Europe,1990,0-6 days,Both,0,0,0,0,0,0.2,0,0.2
Tuberculosis,Western Europe,1990,7-27 days,Male,0,0,0,0,0,0.3,0,0.3
Tuberculosis,Western Europe,1990,7-27 days,Female,0,0,0,0,0,0.1,0,0.1
Tuberculosis,Western Europe,1990,7-27 days,Both,0,0,0,0,1,0.2,1,0.2
Tuberculosis,Western Europe,1990,28-364 days,Male,5,0.2,433,20.4,7,0.3,440,20.8
Tuberculosis,Western Europe,1990,28-364 days,Female,3,0.2,277,13.8,3,0.2,280,13.9
Tuberculosis,Western Europe,1990,28-364 days,Both,8,0.2,710,17.2,10,0.2,720,17.4
Tuberculosis,Western Europe,1990,1-4 years,Male,7,0.1,579,6.3,101,1.1,681,7.3
Tuberculosis,Western Europe,1990,1-4 years,Female,4,0,355,4,45,0.5,400,4.5
Tuberculosis,Western Europe,1990,1-4 years,Both,11,0.1,934,5.2,147,0.8,"1,081",6
Tuberculosis,Western Europe,1990,5-9 years,Male,4,0,331,2.8,284,2.4,614,5.2
Tuberculosis,Western Europe,1990,5-9 years,Female,2,0,193,1.7,126,1.1,319,2.8
Tuberculosis,Western Europe,1990,5-9 years,Both,7,0,524,2.3,410,1.8,934,4
Tuberculosis,Western Europe,1990,10-14 years,Male,4,0,292,2.4,463,3.7,755,6.1
Tuberculosis,Western Europe,1990,10-14 years,Female,2,0,148,1.3,206,1.7,354,3
Tuberculosis,Western Europe,1990,10-14 years,Both,6,0,440,1.8,670,2.8,"1,109",4.6
Tuberculosis,Western Europe,1990,15-19 years,Male,11,0.1,747,5.4,702,5,"1,449",10.4
