short_name,full_name
0D,0-6 days
7D,7-27 days
28D,28-364 days
1Y,1-4 years
5Y,5-9 years
10Y,10-14 years
15Y,15-19 years
20Y,20-24 years
25Y,25-29 years
30Y,30-34 years
35Y,35-39 years
40Y,40-44 years
45Y,45-49 years
50Y,50-54 years
55Y,55-59 years
60Y,60-64 years
65Y,65-69 years
70Y,70-74 years
75Y,75-79 years
80Y,80+ years
ALL,All ages
GLB,Global
ALA,Andean Latin America
AUA,Australasia
CAR,Caribbean
CAS,Central Asia
CEU,Central Europe
CLA,Central Latin America
CSA,Central sub-Saharan Africa
EAS,East Asia
EEU,Eastern Europe
ESA,Eastern sub-Saharan Africa
HAP,High-income Asia Pacific
HNA,High-income North America
NAM,North Africa and Middle East
OCA,Oceania
SAS,South Asia
SEA,Southeast Asia
SLA,Southern Latin America
SSA,Southern sub-Saharan Africa
TLA,Tropical Latin America
WEU,Western Europe
WSA,Western sub-Saharan Africa
TB,Tuberculosis
HIV-TB,HIV disease resulting in mycobacterial infection
Other HIV,HIV disease resulting in other specified or unspecified diseases
Cholera,Cholera
Salmonella,Other salmonella infections
Shigellosis,Shigellosis
EPEC,Enteropathogenic E coli infection
ETEC,Enterotoxigenic E coli infection
Campylo,Campylobacter enteritis
Amoebiasis,Amoebiasis
Crypto,Cryptosporidiosis
Rotavirus,Rotaviral enteritis
Oth Diarr,Other diarrheal diseases
Typhoid,Typhoid and paratyphoid fevers
LRI-Flu,Influenza
LRI-Pneum,Pneumococcal pneumonia
LRI-HiB,H influenzae type B pneumonia
LRI-RSV,Respiratory syncytial virus pneumonia
Oth LRI,Other lower respiratory infections
URI,Upper respiratory infections
Otitis,Otitis media
Mng-Pneum,Pneumococcal meningitis
Mng-HiB,H influenzae type B meningitis
Mng-Mening,Meningococcal infection
Oth Mng,Other meningitis
Enceph,Encephalitis
Diptheria,Diphtheria
Whooping,Whooping cough
Tetanus,Tetanus
Measles,Measles
Varicella,Varicella
Malaria,Malaria
Chagas,Chagas disease
Leish,Leishmaniasis
Afr Tryp,African trypanosomiasis
Schisto,Schistosomiasis
Cysticer,Cysticercosis
Echino,Echinococcosis
LF,Lymphatic filariasis
Oncho,Onchocerciasis
Trachoma,Trachoma
Dengue,Dengue
Yellow F,Yellow fever
Rabies,Rabies
Ascar,Ascariasis
Trichur,Trichuriasis
Hookworm,Hookworm disease
FBT,Food-borne trematodiases
Oth NTD,Other neglected tropical diseases
M Hem,Maternal hemorrhage
M Sepsis,Maternal sepsis
M HTN,Hypertensive disorders of pregnancy
Obs Labor,Obstructed labor
Abortion,Abortion
Oth M,Other maternal disorders
Preterm,Preterm birth complications
N Enceph,Neonatal encephalopathy (birth asphyxia and birth trauma)
N Sepsis,Sepsis and other infectious disorders of the newborn baby
Oth Neo,Other neonatal disorders
PEM,Protein-energy malnutrition
Iodine,Iodine deficiency
Vit A,Vitamin A deficiency
