short_name,full_name,
GLB,Global,
ALA,Andean Latin America,
AUA,Australasia,
CAR,Caribbean,
CAS,Central Asia,
CEU,Central Europe,
CLA,Central Latin America,
CSA,Central sub-Saharan Africa,
EAS,East Asia,
EEU,Eastern Europe,
ESA,Eastern sub-Saharan Africa,
HAP,High-income Asia Pacific,
HNA,High-income North America,
NAM,North Africa and Middle East,
OCA,Oceania,
SAS,South Asia,
SEA,Southeast Asia,
SLA,Southern Latin America,
SSA,Southern sub-Saharan Africa,
TLA,Tropical Latin America,
WEU,Western Europe,
WSA,Western sub-Saharan Africa,
